city,lat,long,ags,population,date,cases,tot,Verdopplungstage,gesund,pro100000,01.03.,02.03.,03.03.,04.03.,05.03.,06.03.,07.03.,08.03.,09.03.,10.03.,11.03.,12.03.,13.03.,14.03.,15.03.,16.03.,17.03.,18.03.,19.03.,20.03.,21.03.,22.03.,23.03.,24.03.,25.03.,26.03.,27.03.,28.03.,29.03.,30.03.,31.03.,01.04.,02.04.,03.04.,04.04.,05.04.,06.04.,07.04.,08.04.,"09.04.",
NRW,,,,17932651,"""09.04.2020"," 10 Uhr""",23605,456, 13,10825, 132,92,90,129,129,302,361,377,484,524,642,801,1041,1433,1636,2100,2744,3374,4268,4971,6257,6740,7361,8224,9087,9686,10872,12017,12744,13630,14442,15251,16343,17614,18557,19405,20523,20814,21825,22849,"23605"
Aachen & Region,50.749709,6.213554, 5334,555465,"""09.04.2020"," 16 Uhr""",1426,41, 13, 755, 257, 14, 10, 10, 13, 33, 41, 51, 57, 58, 61, 63, 63, 85, 85, 140, 169, 211, 273, 343, 361, 436, 501, 530, 540, 540, 618, 649, 746,787, 824, 920, 980,1081,1155,1210,1259,1272,1295,1367,"1426"
Bielefeld,52.018202,8.577806, 5711,333786,"""09.04.2020"," 16 Uhr""",269,1, 14, 109, 81,,,,,,,, 2, 2, 2, 5, 9, 17, 17, 17, 27, 28, 49, 49, 66, 66, 81, 98, 104, 120, 132, 142, 142,146, 169, 169, 177,316,334,205,209,222,224,233,"269"
Bochum,51.474951,7.213937, 5911,364628,"""09.04.2020"," 16 Uhr""",348,12, 15, 203, 95,,,,, 1, 2, 2, 3, 4, 4, 5, 8, 18, 18, 20, 26, 26, 30, 39, 77, 77, 99, 141, 143, 173, 186, 219, 219,219, 245, 269, 275,275,301,301,315,330,335,342,"348"
Bonn,50.724104,7.114887, 5314,327258,"""09.04.2020"," 16 Uhr""",447,2, 14, 111, 137, 1, 1, 1, 1, 1, 1, 2, 4, 5, 6, 13, 17, 23, 28, 36, 41, 64, 69, 76, 92, 119, 132, 157, 164, 180, 212, 225, 241,259, 268, 272, 294,316,353,370,395,412,416,517,"447"
Kreis Borken,51.9419987,6.9812473, 5554,370676,"""09.04.2020"," 16 Uhr""",722,17, 10, 308, 195,,,,,,,,,, 1, 1, 3, 19, 27, 45, 82, 104, 131, 187, 226, 252, 274, 282, 300, 323, 353, 382, 399,424, 443, 455, 497,547,566,609,650,650,681,699,"722"
Bottrop,51.52873,6.943227, 5512,117383,"""09.04.2020"," 16 Uhr""",78,3, 14, 30, 66,,,,, 1, 5, 5, 5, 5, 6, 7, 14, 3, 3, 3, 4, 7, 9, 10, 16, 16, 16, 17, 18, 23, 23, 25, 32,37, 38, 43, 44,47,51,55,60,60,66,71,"78"
Kreis Coesfeld,51.941946,7.166349, 5558,219929,"""09.04.2020"," 16 Uhr""",431,9, 12, 198, 196,,,,, 13, 13, 16, 18, 21, 21, 22, 28, 33, 39, 47, 50, 53, 70, 93, 116, 129, 152, 152, 172, 184, 216, 245, 274,303, 304, 313, 339,361,372,375,394,394,409,417,"431"
Dortmund,51.5135872,7.4652981, 5913,587010,"""09.04.2020"," 16 Uhr""",497,3, 14, 220, 85,,,,, 2, 2, 2, 4, 4, 5, 12, 12, 14, 14, 19, 33, 49, 65, 76, 140, 140, 140, 160, 174, 183, 214, 238, 238,256, 256, 275, 304,334,380,380,380,393,425,483,"497"
Duisburg,51.47994,6.75966, 5112,498590,"""09.04.2020"," 16 Uhr""",506,5, 14, 226, 101,, 1, 1, 1, 1, 2, 2, 2, 3, 3, 7, 9, 10, 14, 14, 30, 46, 52, 63, 81, 89, 89, 133, 160, 174, 200, 245, 234,276, 286, 312, 330,351,367,379,394,404,440,469,"506"
