city,lat,long,ags,population,date,cases,proKopf,gesund,tot,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,"26.03.2020",
Aachen & Region,50.749709,6.213554,05334,555465,"""26.03.2020"," 16 Uhr""",618,899,0,9,6,10,10,13,33,41,51,57,58,61,63,63,85,85,140,169,211,273,343,361,436,501,530,540,540,"618"
Bielefeld,52.018202,8.577806,05711,333786,"""26.03.2020"," 16 Uhr""",132,2529,0,,0,0,0,0,0,0,0,2,2,2,5,9,17,17,17,27,28,49,49,66,66,81,98,104,120,"132"
Bochum,51.474951,7.213937,05911,364628,"""26.03.2020"," 16 Uhr""",186,1960,0,4,0,0,0,0,1,2,2,3,4,4,5,8,18,18,20,26,26,30,39,77,77,99,141,143,173,"186"
Bonn,50.724104,7.114887,05314,327258,"""26.03.2020"," 16 Uhr""",212,1544,0,1,1,1,1,1,1,1,2,4,5,6,13,17,23,28,36,41,64,69,76,92,119,132,157,164,180,"212"
Kreis Borken,51.9419987,6.9812473,05554,370676,"""26.03.2020"," 16 Uhr""",353,1050,1,3,0,0,0,0,0,0,0,0,0,1,1,3,19,27,45,82,104,131,187,226,252,274,282,300,323,"353"
Bottrop,51.52873,6.943227,05512,117383,"""26.03.2020"," 16 Uhr""",23,5104,0,1,0,0,0,0,1,5,5,5,5,6,7,14,3,3,3,4,7,9,10,16,16,16,17,18,23,"23"
Kreis Coesfeld,51.941946,7.166349,05558,219929,"""26.03.2020"," 16 Uhr""",216,1018,0,,0,0,0,0,13,13,16,18,21,21,22,28,33,39,47,50,53,70,93,116,129,152,152,172,184,"216"
Dortmund,51.5135872,7.4652981,05913,587010,"""26.03.2020"," 16 Uhr""",214,2743,0,,0,0,0,0,2,2,2,4,4,5,12,12,14,14,19,33,49,65,76,140,140,140,160,174,183,"214"
Duisburg,51.47994,6.75966,05112,498590,"""26.03.2020"," 16 Uhr""",200,2493,0,1,0,1,1,1,1,2,2,2,3,3,7,9,10,14,14,30,46,52,63,81,89,89,133,160,174,"200"
Kreis DÃ¼ren,50.801834,6.48195,05358,263722,"""26.03.2020"," 16 Uhr""",189,1395,0,1,1,1,1,2,4,4,4,4,5,6,7,9,15,18,24,39,47,57,80,107,118,130,142,151,166,"189"
DÃ¼sseldorf,51.226297,6.801324,05111,619294,"""26.03.2020"," 16 Uhr""",290,2135,0,2,0,0,1,1,1,3,3,3,3,5,6,7,16,23,36,36,97,97,154,187,189,189,205,280,261,"290"
Ennepe-Ruhr-Kreis,51.366277,7.310078,05954,324296,"""26.03.2020"," 16 Uhr""",99,3276,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,14,17,17,32,38,45,45,52,76,76,91,"99"
Essen,51.468739,7.019603,05113,583109,"""26.03.2020"," 16 Uhr""",292,1997,0,5,1,1,1,2,5,5,6,6,6,5,9,12,20,34,52,80,89,115,154,164,164,218,228,254,266,"292"
Kreis Euskirchen,50.5320004,6.6364339,05366,192840,"""26.03.2020"," 16 Uhr""",64,3013,0,,0,0,0,0,1,1,1,1,2,2,2,3,4,5,6,12,12,19,26,42,45,51,53,61,61,"64"
Gelsenkirchen,51.517744,7.0857172,05513,260654,"""26.03.2020"," 16 Uhr""",62,4204,0,,0,0,0,0,3,3,3,3,3,4,4,4,7,9,12,13,18,21,36,38,41,41,47,52,55,"62"
Kreis GÃ¼tersloh,51.903311,8.390601,05754,364083,"""26.03.2020"," 16 Uhr""",315,1156,0,1,0,0,0,0,1,1,0,0,0,0,5,15,15,15,45,71,80,91,100,169,179,202,224,254,254,"315"
Hagen,51.371236,7.487553,05914,188814,"""26.03.2020"," 16 Uhr""",55,3433,0,2,0,0,0,0,0,0,0,0,1,1,3,3,3,5,5,6,8,11,22,31,31,37,43,50,55,"55"
Hamm,51.674274,7.821892,05915,179111,"""26.03.2020"," 16 Uhr""",109,1643,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,8,16,26,49,54,62,85,90,94,"109"
Kreis Heinsberg,51.06395,6.098857,05370,254322,"""26.03.2020"," 16 Uhr""",1124,226,157,28,65,65,78,87,197,214,214,277,292,365,403,483,558,589,650,690,760,811,845,916,916,964,1004,1043,1056,"1124"
Kreis Herford,52.1759015,8.5988205,05758,250783,"""26.03.2020"," 16 Uhr""",122,2056,0,,0,0,0,0,0,2,2,2,2,2,4,5,9,19,22,26,26,52,52,84,85,97,99,104,117,"122"
Herne,51.540584,7.20971,05916,156374,"""26.03.2020"," 16 Uhr""",41,3814,0,,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,8,8,7,13,13,16,23,23,27,27,"41"
Hochsauerlandkreis,51.24509,8.301315,05958,260475,"""26.03.2020"," 16 Uhr""",183,1423,0,,0,0,0,0,0,0,0,0,0,1,1,6,14,20,30,31,37,80,82,99,103,116,131,149,160,"183"
Kreis HÃ¶xter,51.775929,9.380873,05762,140667,"""26.03.2020"," 16 Uhr""",39,3607,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7,16,16,20,21,22,33,"39"
Kreis Kleve,51.7794,6.126757,05154,310974,"""26.03.2020"," 16 Uhr""",166,1873,0,1,0,0,0,0,0,0,0,0,0,1,2,4,10,14,32,36,66,66,74,89,109,109,109,126,150,"166"
KÃ¶ln,50.94718,6.934628,05315,1085664,"""26.03.2020"," 16 Uhr""",980,1108,11,3,5,5,6,7,12,18,20,30,30,33,43,63,83,83,129,274,274,430,430,629,629,688,809,880,880,"980"
Krefeld,51.337869,6.585484,05114,227020,"""26.03.2020"," 16 Uhr""",138,1645,0,,0,0,0,0,0,0,0,0,0,0,0,2,10,10,10,19,36,53,53,71,71,71,92,97,110,"138"
Leverkusen,51.048254,7.029976,05316,163838,"""26.03.2020"," 16 Uhr""",74,2214,0,,0,0,0,0,0,0,0,0,0,0,2,3,5,5,9,20,21,31,33,40,45,48,48,58,65,"74"
Kreis Lippe,51.9759031,8.9865279,05766,348391,"""26.03.2020"," 16 Uhr""",230,1515,0,1,0,0,0,0,1,1,1,1,3,11,19,21,36,37,37,56,56,107,107,133,133,138,170,188,204,"230"
MÃ¤rkischer Kreis,51.285488,7.734746,05962,412120,"""26.03.2020"," 16 Uhr""",73,5645,0,,1,0,1,1,3,5,5,5,5,6,7,10,13,13,13,17,21,27,34,36,38,38,47,47,54,"73"
Kreis Mettmann,51.252811,6.970846,05158,485684,"""26.03.2020"," 16 Uhr""",243,1999,0,3,0,0,0,1,1,2,2,6,6,8,11,16,19,19,19,19,44,63,87,104,113,113,173,199,217,"243"
Kreis Minden-LÃ¼bbecke,52.3351538,8.7623421,05770,310710,"""26.03.2020"," 16 Uhr""",223,1393,0,,0,0,0,0,0,1,2,4,5,5,9,10,14,32,47,61,74,97,121,140,140,148,166,184,207,"223"
MÃ¶nchengladbach,51.1821,6.428687,05116,261454,"""26.03.2020"," 16 Uhr""",123,2126,0,,1,1,1,1,3,5,7,7,7,8,8,17,23,23,36,36,37,37,46,68,77,77,77,106,118,"123"
MÃ¼lheim an der Ruhr,51.437117,6.894836,05117,170880,"""26.03.2020"," 16 Uhr""",52,3286,0,,0,0,0,0,0,0,0,0,0,0,0,4,9,9,9,9,12,14,21,30,36,36,36,45,52,"52"
MÃ¼nster,51.954044,7.624747,05515,314319,"""26.03.2020"," 16 Uhr""",361,871,0,1,1,1,1,2,4,8,4,4,5,6,8,14,23,41,56,90,90,114,158,191,219,243,276,295,312,"361"
Oberbergischer Kreis,50.971448,7.579776,05374,272471,"""26.03.2020"," 16 Uhr""",133,2049,0,,0,0,0,2,2,5,5,5,5,6,10,11,14,14,19,27,27,50,50,57,71,75,94,101,116,"133"
Oberhausen,51.498071,6.862345,05119,210829,"""26.03.2020"," 16 Uhr""",44,4792,0,,0,0,0,0,0,0,0,0,0,0,1,1,8,8,8,8,13,13,18,35,35,35,37,37,39,"44"
Kreis Olpe,51.026592,7.849124,05966,134775,"""26.03.2020"," 16 Uhr""",45,2995,0,,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,6,14,15,17,17,17,19,19,35,"45"
Kreis Paderborn,51.7156948,8.7464185,05774,306890,"""26.03.2020"," 16 Uhr""",139,2208,0,,0,0,0,0,0,1,1,2,2,2,6,6,18,32,36,37,45,56,59,71,75,78,92,98,105,"139"
Kreis Recklinghausen,51.6783004,7.1311409,05562,615261,"""26.03.2020"," 16 Uhr""",246,2501,0,,0,0,0,0,1,1,1,1,1,2,9,16,31,41,47,51,56,69,80,100,127,143,150,170,195,"246"
Remscheid,51.180907,7.180644,05120,110994,"""26.03.2020"," 16 Uhr""",38,2921,0,,0,0,0,0,0,0,0,1,4,4,4,5,7,7,8,8,9,10,13,19,21,21,30,33,34,"38"
Rhein-Erft-Kreis,50.926461,6.69704,05362,470089,"""26.03.2020"," 16 Uhr""",258,1822,0,1,0,1,1,1,2,2,2,2,2,3,6,10,13,24,36,58,82,90,106,124,154,181,180,199,244,"258"
Rheinisch-Bergischer Kreis,51.013579,7.181018,05378,283455,"""26.03.2020"," 16 Uhr""",141,2010,0,1,0,0,0,2,3,3,3,4,9,11,12,18,28,29,30,52,52,60,60,81,81,95,108,135,137,"141"
Rhein-Kreis Neuss,51.134897,6.645946,05162,451007,"""26.03.2020"," 16 Uhr""",225,2004,0,3,0,0,0,1,1,1,1,1,1,1,5,8,15,15,15,24,50,50,50,85,96,119,140,153,194,"225"
Rhein-Sieg-Kreis,50.7413603,7.3151707,05382,599780,"""26.03.2020"," 16 Uhr""",356,1685,0,2,0,0,0,0,0,2,2,2,5,11,19,24,32,32,63,78,78,139,139,248,248,262,305,335,335,"356"
Kreis Siegen Wittgenstein,50.892976,8.0748,05970,278210,"""26.03.2020"," 16 Uhr""",61,4561,0,,0,0,0,0,0,0,0,0,0,0,1,1,10,10,10,15,15,26,29,29,29,39,47,51,60,"61"
Kreis Soest,51.568226,8.113109,05974,301902,"""26.03.2020"," 16 Uhr""",135,2236,0,,0,0,0,0,0,0,0,0,0,0,1,3,9,9,9,15,15,39,49,57,57,73,93,110,121,"135"
Solingen,51.176385,7.070708,05122,159360,"""26.03.2020"," 16 Uhr""",66,2415,0,,0,0,0,0,0,0,0,0,0,4,4,4,6,6,7,7,31,31,32,35,38,38,38,51,54,"66"
Kreis Steinfurt,52.144456,7.331065,05566,447614,"""26.03.2020"," 16 Uhr""",292,1533,0,,0,0,0,0,0,0,0,2,2,5,11,22,31,43,61,80,91,114,138,164,188,201,207,240,251,"292"
Kreis Unna,51.537065,7.685846,05978,394782,"""26.03.2020"," 16 Uhr""",146,2704,0,,0,1,1,1,1,1,1,8,8,4,6,6,13,13,14,19,19,25,46,60,60,60,98,108,124,"146"
Kreis Viersen,51.254239,6.396321,05166,298935,"""26.03.2020"," 16 Uhr""",181,1652,0,1,1,1,2,2,3,5,5,5,5,6,6,6,16,16,16,16,43,43,59,70,123,123,123,168,174,"181"
Kreis Warendorf,51.8393825,8.016104,05570,277783,"""26.03.2020"," 16 Uhr""",249,1116,0,1,0,0,0,0,0,0,1,2,2,4,5,8,14,27,47,59,65,89,111,146,186,208,203,210,224,"249"
Kreis Wesel ,51.664636,6.625631,05170,459809,"""26.03.2020"," 16 Uhr""",178,2583,0,2,1,1,1,1,1,1,1,1,1,1,4,12,19,19,19,36,116,116,132,132,124,124,132,146,162,"178"
Wuppertal,51.265292,7.143049,05124,354382,"""26.03.2020"," 16 Uhr""",138,2568,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,14,31,31,50,61,74,74,74,110,117,138
