city,lat,lng,ags,population,date,cases,proKopf,gesund,tot,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,"19.03.2020",
Aachen & Region,50.749709,6.213554,05334,555465,"""19.3.2020"," 16.00 Uhr""",343,1619,0,5,6,10,10,13,33,41,51,57,58,61,63,63,85,85,140,169,211,273,"343"
Bielefeld,52.018202,8.577806,05711,333786,"""19.3.2020"," 16.00 Uhr""",49,6812,0,0,0,0,0,0,0,0,0,2,2,2,5,9,17,17,17,27,28,49,"49"
Bochum,51.474951,7.213937,05911,364628,"""19.3.2020"," 16.00 Uhr""",39,9349,0,0,0,0,0,0,1,2,2,3,4,4,5,8,18,18,20,26,26,30,"39"
Bonn,50.724104,7.114887,05314,327258,"""19.3.2020"," 16.00 Uhr""",76,4306,0,0,1,1,1,1,1,1,2,4,5,6,13,17,23,28,36,41,64,69,"76"
Kreis Borken,51.9419987,6.9812473,05554,370676,"""19.3.2020"," 16.00 Uhr""",187,1982,0,0,0,0,0,0,0,0,0,0,0,1,1,3,19,27,45,82,104,131,"187"
Bottrop,51.52873,6.943227,05512,117383,"""19.3.2020"," 16.00 Uhr""",10,11738,0,0,0,0,0,0,1,5,5,5,5,6,7,14,3,3,3,4,7,9,"10"
Kreis Coesfeld,51.941946,7.166349,05558,219929,"""19.3.2020"," 16.00 Uhr""",93,2365,0,0,0,0,0,0,13,13,16,18,21,21,22,28,33,39,47,50,53,70,"93"
Dortmund,51.5135872,7.4652981,05913,587010,"""19.3.2020"," 16.00 Uhr""",76,7724,0,0,0,0,0,0,2,2,2,4,4,5,12,12,14,14,19,33,49,65,"76"
Duisburg,51.47994,6.75966,05112,498590,"""19.3.2020"," 16.00 Uhr""",63,7914,0,0,0,1,1,1,1,2,2,2,3,3,7,9,10,14,14,30,46,52,"63"
Kreis DÃ¼ren,50.801834,6.48195,05358,263722,"""19.3.2020"," 16.00 Uhr""",80,3297,0,0,1,1,1,2,4,4,4,4,5,6,7,9,15,18,24,39,47,57,"80"
DÃ¼sseldorf,51.226297,6.801324,05111,619294,"""19.3.2020"," 16.00 Uhr""",154,4021,0,1,0,0,1,1,1,3,3,3,3,5,6,7,16,23,36,36,97,97,"154"
Ennepe-Ruhr-Kreis,51.366277,7.310078,05954,324296,"""19.3.2020"," 16.00 Uhr""",38,8534,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,14,17,17,32,"38"
Essen,51.468739,7.019603,05113,583109,"""19.3.2020"," 16.00 Uhr""",154,3786,0,1,1,1,1,2,5,5,6,6,6,5,9,12,20,34,52,80,89,115,"154"
Kreis Euskirchen,50.5320004,6.6364339,05366,192840,"""19.3.2020"," 16.00 Uhr""",26,7417,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,5,6,12,12,19,"26"
Gelsenkirchen,51.517744,7.0857172,05513,260654,"""19.3.2020"," 16.00 Uhr""",36,7240,0,0,0,0,0,0,3,3,3,3,3,4,4,4,7,9,12,13,18,21,"36"
Kreis GÃ¼tersloh,51.903311,8.390601,05754,364083,"""19.3.2020"," 16.00 Uhr""",100,3641,0,0,0,0,0,0,1,1,0,0,0,0,5,15,15,15,45,71,80,91,"100"
Hagen,51.371236,7.487553,05914,188814,"""19.3.2020"," 16.00 Uhr""",22,8582,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,5,5,6,8,11,"22"
Hamm,51.674274,7.821892,05915,179111,"""19.3.2020"," 16.00 Uhr""",26,6889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,8,16,"26"
Kreis Heinsberg,51.06395,6.098857,05370,254322,"""19.3.2020"," 16.00 Uhr""",845,301,25,9,65,65,78,87,197,214,214,277,292,365,403,483,558,589,650,690,760,811,"845"
Kreis Herford,52.1759015,8.5988205,05758,250783,"""19.3.2020"," 16.00 Uhr""",52,4823,0,0,0,0,0,0,0,2,2,2,2,2,4,5,9,19,22,26,26,52,"52"
Herne,51.540584,7.20971,05916,156374,"""19.3.2020"," 16.00 Uhr""",13,12029,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,8,8,7,"13"
Hochsauerlandkreis,51.24509,8.301315,05958,260475,"""19.3.2020"," 16.00 Uhr""",82,3177,0,0,0,0,0,0,0,0,0,0,0,1,1,6,14,20,30,31,37,80,"82"
Kreis HÃ¶xter,51.775929,9.380873,05762,140667,"""19.3.2020"," 16.00 Uhr""",7,20095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,"7"
Kreis Kleve,51.7794,6.126757,05154,310974,"""19.3.2020"," 16.00 Uhr""",74,4202,0,0,0,0,0,0,0,0,0,0,0,1,2,4,10,14,32,36,66,66,"74"
KÃ¶ln,50.94718,6.934628,05315,1085664,"""19.3.2020"," 16.00 Uhr""",430,2525,0,1,5,5,6,7,12,18,20,30,30,33,43,63,83,83,129,274,274,430,"430"
Krefeld,51.337869,6.585484,05114,227020,"""19.3.2020"," 16.00 Uhr""",53,4283,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,10,10,19,36,53,"53"
