city,lat,long,ags,population,date,cases,tot,Verdopplungstage,gesund,pro100000,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,01.04.2020,"02.04.2020",
Aachen & Region,50.749709,6.213554, 5334,555465,"""02.04.2020"," 16 Uhr""", 1081, 21, 9,#N/A, 195, 14, 10, 10, 13, 33, 41, 51, 57, 58, 61, 63, 63, 85, 85, 140, 169, 211, 273, 343, 361, 436, 501, 530, 540, 540, 618, 649, 746,787, 824, 920, 980,"1081"
Bielefeld,52.018202,8.577806, 5711,333786,"""02.04.2020"," 16 Uhr""", 316,, 4,#N/A, 95,,,,,,,, 2, 2, 2, 5, 9, 17, 17, 17, 27, 28, 49, 49, 66, 66, 81, 98, 104, 120, 132, 142, 142,146, 169, 169, 177,"316"
Bochum,51.474951,7.213937, 5911,364628,"""02.04.2020"," 16 Uhr""", 275, 7, 10,#N/A, 75,,,,, 1, 2, 2, 3, 4, 4, 5, 8, 18, 18, 20, 26, 26, 30, 39, 77, 77, 99, 141, 143, 173, 186, 219, 219,219, 245, 269, 275,"275"
Bonn,50.724104,7.114887, 5314,327258,"""02.04.2020"," 16 Uhr""", 316, 1, 10,#N/A, 97, 1, 1, 1, 1, 1, 1, 2, 4, 5, 6, 13, 17, 23, 28, 36, 41, 64, 69, 76, 92, 119, 132, 157, 164, 180, 212, 225, 241,259, 268, 272, 294,"316"
Kreis Borken,51.9419987,6.9812473, 5554,370676,"""02.04.2020"," 16 Uhr""", 547, 8, 11,#N/A, 148,,,,,,,,,, 1, 1, 3, 19, 27, 45, 82, 104, 131, 187, 226, 252, 274, 282, 300, 323, 353, 382, 399,424, 443, 455, 497,"547"
Bottrop,51.52873,6.943227, 5512,117383,"""02.04.2020"," 16 Uhr""", 47, 1, 8,#N/A, 40,,,,, 1, 5, 5, 5, 5, 6, 7, 14, 3, 3, 3, 4, 7, 9, 10, 16, 16, 16, 17, 18, 23, 23, 25, 32,37, 38, 43, 44,"47"
Kreis Coesfeld,51.941946,7.166349, 5558,219929,"""02.04.2020"," 16 Uhr""", 361, 7, 9,#N/A, 164,,,,, 13, 13, 16, 18, 21, 21, 22, 28, 33, 39, 47, 50, 53, 70, 93, 116, 129, 152, 152, 172, 184, 216, 245, 274,303, 304, 313, 339,"361"
Dortmund,51.5135872,7.4652981, 5913,587010,"""02.04.2020"," 16 Uhr""", 334, 1, 10,#N/A, 57,,,,, 2, 2, 2, 4, 4, 5, 12, 12, 14, 14, 19, 33, 49, 65, 76, 140, 140, 140, 160, 174, 183, 214, 238, 238,256, 256, 275, 304,"334"
Duisburg,51.47994,6.75966, 5112,498590,"""02.04.2020"," 16 Uhr""", 351, 2, 8,#N/A, 70,, 1, 1, 1, 1, 2, 2, 2, 3, 3, 7, 9, 10, 14, 14, 30, 46, 52, 63, 81, 89, 89, 133, 160, 174, 200, 245, 234,276, 286, 312, 330,"351"
Kreis DÃ¼ren,50.801834,6.48195, 5358,263722,"""02.04.2020"," 16 Uhr""", 282, 6, 11,#N/A, 107, 1, 1, 1, 2, 4, 4, 4, 4, 5, 6, 7, 9, 15, 18, 24, 39, 47, 57, 80, 107, 118, 130, 142, 151, 166, 189, 192, 217,232, 246, 252, 272,"282"
DÃ¼sseldorf,51.226297,6.801324, 5111,619294,"""02.04.2020"," 16 Uhr""", 496, 4, 10,#N/A, 80,,, 1, 1, 1, 3, 3, 3, 3, 5, 6, 7, 16, 23, 36, 36, 97, 97, 154, 187, 189, 189, 205, 280, 261, 290, 317, 319,359, 363, 410, 455,"496"
Ennepe-Ruhr-Kreis,51.366277,7.310078, 5954,324296,"""02.04.2020"," 16 Uhr""", 216, 1, 6,#N/A, 67,,,,,,,,,,, 1, 1, 3, 3, 14, 17, 17, 32, 38, 45, 45, 52, 76, 76, 91, 99, 108, 108,159, 175, 192, 210,"216"
Essen,51.468739,7.019603, 5113,583109,"""02.04.2020"," 16 Uhr""", 430, 7, 13,#N/A, 74, 1, 1, 1, 2, 5, 5, 6, 6, 6, 5, 9, 12, 20, 34, 52, 80, 89, 115, 154, 164, 164, 218, 228, 254, 266, 292, 349, 360,360, 399, 414, 420,"430"
Kreis Euskirchen,50.5320004,6.6364339, 5366,192840,"""02.04.2020"," 16 Uhr""", 154, 2, 7,#N/A, 80,,,,, 1, 1, 1, 1, 2, 2, 2, 3, 4, 5, 6, 12, 12, 19, 26, 42, 45, 51, 53, 61, 61, 64, 95, 101,105, 120, 126, 133,"154"
Gelsenkirchen,51.517744,7.0857172, 5513,260654,"""02.04.2020"," 16 Uhr""", 133, 1, 7,#N/A, 51,,,,, 3, 3, 3, 3, 3, 4, 4, 4, 7, 9, 12, 13, 18, 21, 36, 38, 41, 41, 47, 52, 55, 62, 73, 81,91, 94, 107, 119,"133"
Kreis GÃ¼tersloh,51.903311,8.390601, 5754,364083,"""02.04.2020"," 16 Uhr""", 432, 2, 11,#N/A, 119,,,,, 1, 1,,,,, 5, 15, 15, 15, 45, 71, 80, 91, 100, 169, 179, 202, 224, 254, 254, 315, 335, 335,356, 372, 387, 401,"432"
Hagen,51.371236,7.487553, 5914,188814,"""02.04.2020"," 16 Uhr""", 92, 2, 10,#N/A, 49,,,,,,,,, 1, 1, 3, 3, 3, 5, 5, 6, 8, 11, 22, 31, 31, 37, 43, 50, 55, 55, 55, 62,62, 80, 80, 82,"92"
Hamm,51.674274,7.821892, 5915,179111,"""02.04.2020"," 16 Uhr""", 182, 3, 9,#N/A, 102,,,,,,,,,,,,, 2, 4, 4, 4, 8, 16, 26, 49, 54, 62, 85, 90, 94, 109, 117, 131,146, 153, 157, 171,"182"
Kreis Heinsberg,51.06395,6.098857, 5370,254322,"""02.04.2020"," 16 Uhr""", 1406, 39, 17,#N/A, 553, 65, 65, 78, 87, 197, 214, 214, 277, 292, 365, 403, 483, 558, 589, 650, 690, 760, 811, 845, 916, 916, 964, 1004, 1043, 1056, 1124, 1166, 1202,1246, 1265, 1266, 1331,"1406"
Kreis Herford,52.1759015,8.5988205, 5758,250783,"""02.04.2020"," 16 Uhr""", 194, 1, 11,#N/A, 77,,,,,, 2, 2, 2, 2, 2, 4, 5, 9, 19, 22, 26, 26, 52, 52, 84, 85, 97, 99, 104, 117, 122, 133, 138,143, 148, 152, 176,"194"
Herne,51.540584,7.20971, 5916,156374,"""02.04.2020"," 16 Uhr""", 64,, 9,#N/A, 41,,,,,,,,,,, 2, 4, 4, 4, 5, 8, 8, 7, 13, 13, 16, 23, 23, 27, 27, 41, 42, 45,51, 55, 57, 58,"64"
Hochsauerlandkreis,51.24509,8.301315, 5958,260475,"""02.04.2020"," 16 Uhr""", 313, 1, 9,#N/A, 120,,,,,,,,,, 1, 1, 6, 14, 20, 30, 31, 37, 80, 82, 99, 103, 116, 131, 149, 160, 183, 206, 213,231, 244, 253, 286,"313"
Kreis HÃ¶xter,51.775929,9.380873, 5762,140667,"""02.04.2020"," 16 Uhr""", 78, 1, 7,#N/A, 55,,,,,,,,,,,,,,,, 2, 4, 7, 7, 16, 16, 20, 21, 22, 33, 39, 54, 54,63, 66, 71, 71,"78"
Kreis Kleve,51.7794,6.126757, 5154,310974,"""02.04.2020"," 16 Uhr""", 264, 2, 9,#N/A, 85,,,,,,,,,, 1, 2, 4, 10, 14, 32, 36, 66, 66, 74, 89, 109, 109, 109, 126, 150, 166, 211, 211,233, 233, 237, 242,"264"
KÃ¶ln,50.94718,6.934628, 5315,1085664,"""02.04.2020"," 16 Uhr""", 1499, 16, 11,#N/A, 138, 5, 5, 6, 7, 12, 18, 20, 30, 30, 33, 43, 63, 83, 83, 129, 274, 274, 430, 430, 629, 629, 688, 809, 880, 880, 980, 1017, 1116,1212, 1290, 1343, 1405,"1499"
Krefeld,51.337869,6.585484, 5114,227020,"""02.04.2020"," 16 Uhr""", 240, 1, 8,#N/A, 106,,,,,,,,,,,, 2, 10, 10, 10, 19, 36, 53, 53, 71, 71, 71, 92, 97, 110, 138, 147, 185,185, 208, 211, 225,"240"
Leverkusen,51.048254,7.029976, 5316,163838,"""02.04.2020"," 16 Uhr""", 131,, 8,#N/A, 80,,,,,,,,,,, 2, 3, 5, 5, 9, 20, 21, 31, 33, 40, 45, 48, 48, 58, 65, 74, 82, 88,102, 102, 113, 127,"131"
Kreis Lippe,51.9759031,8.9865279, 5766,348391,"""02.04.2020"," 16 Uhr""", 393, 3, 9,#N/A, 113,,,,, 1, 1, 1, 1, 3, 11, 19, 21, 36, 37, 37, 56, 56, 107, 107, 133, 133, 138, 170, 188, 204, 230, 261, 261,279, 302, 325, 347,"393"
MÃ¤rkischer Kreis,51.285488,7.734746, 5962,412120,"""02.04.2020"," 16 Uhr""", 164, 1, 6,#N/A, 40, 1,, 1, 1, 3, 5, 5, 5, 5, 6, 7, 10, 13, 13, 13, 17, 21, 27, 34, 36, 38, 38, 47, 47, 54, 73, 81, 89,100, 115, 127, 146,"164"
Kreis Mettmann,51.252811,6.970846, 5158,485684,"""02.04.2020"," 16 Uhr""", 381, 7, 10,#N/A, 78,,,, 1, 1, 2, 2, 6, 6, 8, 11, 16, 19, 19, 19, 19, 44, 63, 87, 104, 113, 113, 173, 199, 217, 243, 249, 271,284, 306, 361, 379,"381"
Kreis Minden-LÃ¼bbecke,52.3351538,8.7623421, 5770,310710,"""02.04.2020"," 16 Uhr""", 364, 1, 10,#N/A, 117,,,,,, 1, 2, 4, 5, 5, 9, 10, 14, 32, 47, 61, 74, 97, 121, 140, 140, 148, 166, 184, 207, 223, 241, 241,246, 268, 294, 340,"364"
MÃ¶nchengladbach,51.1821,6.428687, 5116,261454,"""02.04.2020"," 16 Uhr""", 217, 1, 9,#N/A, 83, 1, 1, 1, 1, 3, 5, 7, 7, 7, 8, 8, 17, 23, 23, 36, 36, 37, 37, 46, 68, 77, 77, 77, 106, 118, 123, 146, 163,168, 174, 178, 204,"217"
MÃ¼lheim an der Ruhr,51.437117,6.894836, 5117,170880,"""02.04.2020"," 16 Uhr""", 86, 2, 12,#N/A, 50,,,,,,,,,,,, 4, 9, 9, 9, 9, 12, 14, 21, 30, 36, 36, 36, 45, 52, 52, 53, 62,62, 68, 76, 79,"86"
