city,lat,long,ags,population,date,cases,tot,Verdopplungstage,gesund,pro100000,01.03.,02.03.,03.03.,04.03.,05.03.,06.03.,07.03.,08.03.,09.03.,10.03.,11.03.,12.03.,13.03.,14.03.,15.03.,16.03.,17.03.,18.03.,19.03.,20.03.,21.03.,22.03.,23.03.,24.03.,25.03.,26.03.,27.03.,28.03.,29.03.,30.03.,31.03.,01.04.,02.04.,03.04.,04.04.,05.04.,"06.04.",
Aachen & Region,50.749709,6.213554, 5334,555465,"""06.04.2020"," 10 Uhr""",1272,27, 11,#N/A, 229, 14, 10, 10, 13, 33, 41, 51, 57, 58, 61, 63, 63, 85, 85, 140, 169, 211, 273, 343, 361, 436, 501, 530, 540, 540, 618, 649, 746,787, 824, 920, 980,1081,1155,1210,1259,"1272"
Bielefeld,52.018202,8.577806, 5711,333786,"""06.04.2020"," 10 Uhr""",222,1, 13,#N/A, 67,,,,,,,, 2, 2, 2, 5, 9, 17, 17, 17, 27, 28, 49, 49, 66, 66, 81, 98, 104, 120, 132, 142, 142,146, 169, 169, 177,316,334,205,209,"222"
Bochum,51.474951,7.213937, 5911,364628,"""06.04.2020"," 10 Uhr""",330,11, 13,#N/A, 91,,,,, 1, 2, 2, 3, 4, 4, 5, 8, 18, 18, 20, 26, 26, 30, 39, 77, 77, 99, 141, 143, 173, 186, 219, 219,219, 245, 269, 275,275,301,301,315,"330"
Bonn,50.724104,7.114887, 5314,327258,"""06.04.2020"," 10 Uhr""",412,2, 12,#N/A, 126, 1, 1, 1, 1, 1, 1, 2, 4, 5, 6, 13, 17, 23, 28, 36, 41, 64, 69, 76, 92, 119, 132, 157, 164, 180, 212, 225, 241,259, 268, 272, 294,316,353,370,395,"412"
Kreis Borken,51.9419987,6.9812473, 5554,370676,"""06.04.2020"," 10 Uhr""",650,12, 11,#N/A, 175,,,,,,,,,, 1, 1, 3, 19, 27, 45, 82, 104, 131, 187, 226, 252, 274, 282, 300, 323, 353, 382, 399,424, 443, 455, 497,547,566,609,650,"650"
Bottrop,51.52873,6.943227, 5512,117383,"""06.04.2020"," 10 Uhr""",60,1, 9,#N/A, 51,,,,, 1, 5, 5, 5, 5, 6, 7, 14, 3, 3, 3, 4, 7, 9, 10, 16, 16, 16, 17, 18, 23, 23, 25, 32,37, 38, 43, 44,47,51,55,60,"60"
Kreis Coesfeld,51.941946,7.166349, 5558,219929,"""06.04.2020"," 10 Uhr""",394,5, 11,#N/A, 179,,,,, 13, 13, 16, 18, 21, 21, 22, 28, 33, 39, 47, 50, 53, 70, 93, 116, 129, 152, 152, 172, 184, 216, 245, 274,303, 304, 313, 339,361,372,375,394,"394"
Dortmund,51.5135872,7.4652981, 5913,587010,"""06.04.2020"," 10 Uhr""",393,1, 12,#N/A, 67,,,,, 2, 2, 2, 4, 4, 5, 12, 12, 14, 14, 19, 33, 49, 65, 76, 140, 140, 140, 160, 174, 183, 214, 238, 238,256, 256, 275, 304,334,380,380,380,"393"
Duisburg,51.47994,6.75966, 5112,498590,"""06.04.2020"," 10 Uhr""",404,3, 11,#N/A, 81,, 1, 1, 1, 1, 2, 2, 2, 3, 3, 7, 9, 10, 14, 14, 30, 46, 52, 63, 81, 89, 89, 133, 160, 174, 200, 245, 234,276, 286, 312, 330,351,367,379,394,"404"
Kreis DÃ¼ren,50.801834,6.48195, 5358,263722,"""06.04.2020"," 10 Uhr""",352,12, 12,#N/A, 133, 1, 1, 1, 2, 4, 4, 4, 4, 5, 6, 7, 9, 15, 18, 24, 39, 47, 57, 80, 107, 118, 130, 142, 151, 166, 189, 192, 217,232, 246, 252, 272,282,319,335,346,"352"
DÃ¼sseldorf,51.226297,6.801324, 5111,619294,"""06.04.2020"," 10 Uhr""",575,5, 11,#N/A, 93,,, 1, 1, 1, 3, 3, 3, 3, 5, 6, 7, 16, 23, 36, 36, 97, 97, 154, 187, 189, 189, 205, 280, 261, 290, 317, 319,359, 363, 410, 455,496,538,543,575,"575"
Ennepe-Ruhr-Kreis,51.366277,7.310078, 5954,324296,"""06.04.2020"," 10 Uhr""",263,1, 10,#N/A, 81,,,,,,,,,,, 1, 1, 3, 3, 14, 17, 17, 32, 38, 45, 45, 52, 76, 76, 91, 99, 108, 108,159, 175, 192, 210,216,229,229,315,"263"
Essen,51.468739,7.019603, 5113,583109,"""06.04.2020"," 10 Uhr""",515,13, 13,#N/A, 88, 1, 1, 1, 2, 5, 5, 6, 6, 6, 5, 9, 12, 20, 34, 52, 80, 89, 115, 154, 164, 164, 218, 228, 254, 266, 292, 349, 360,360, 399, 414, 420,430,457,481,501,"515"
Kreis Euskirchen,50.5320004,6.6364339, 5366,192840,"""06.04.2020"," 10 Uhr""",209,1, 7,#N/A, 108,,,,, 1, 1, 1, 1, 2, 2, 2, 3, 4, 5, 6, 12, 12, 19, 26, 42, 45, 51, 53, 61, 61, 64, 95, 101,105, 120, 126, 133,154,165,165,209,"209"
Gelsenkirchen,51.517744,7.0857172, 5513,260654,"""06.04.2020"," 10 Uhr""",170,2, 8,#N/A, 65,,,,, 3, 3, 3, 3, 3, 4, 4, 4, 7, 9, 12, 13, 18, 21, 36, 38, 41, 41, 47, 52, 55, 62, 73, 81,91, 94, 107, 119,133,143,159,170,"170"
Kreis GÃ¼tersloh,51.903311,8.390601, 5754,364083,"""06.04.2020"," 10 Uhr""",481,4, 14,#N/A, 132,,,,, 1, 1,,,,, 5, 15, 15, 15, 45, 71, 80, 91, 100, 169, 179, 202, 224, 254, 254, 315, 335, 335,356, 372, 387, 401,432,340,446,470,"481"
