city,lat,long,ags,population,date,cases,tot,Verdopplungstage,gesund,pro100000,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,01.04.2020,02.04.2020,03.04.2020,"04.04.2020",
Aachen & Region,50.749709,6.213554, 5334,555465,"""04.04.2020"," 11 Uhr""",1210,27, 11, 560, 218, 14, 10, 10, 13, 33, 41, 51, 57, 58, 61, 63, 63, 85, 85, 140, 169, 211, 273, 343, 361, 436, 501, 530, 540, 540, 618, 649, 746,787, 824, 920, 980,1081,1155,"1210"
Bielefeld,52.018202,8.577806, 5711,333786,"""04.04.2020"," 11 Uhr""",205,1, 12, 86, 61,,,,,,,, 2, 2, 2, 5, 9, 17, 17, 17, 27, 28, 49, 49, 66, 66, 81, 98, 104, 120, 132, 142, 142,146, 169, 169, 177,316,334,"205"
Bochum,51.474951,7.213937, 5911,364628,"""04.04.2020"," 11 Uhr""",301,10, 10, 80, 83,,,,, 1, 2, 2, 3, 4, 4, 5, 8, 18, 18, 20, 26, 26, 30, 39, 77, 77, 99, 141, 143, 173, 186, 219, 219,219, 245, 269, 275,275,301,"301"
Bonn,50.724104,7.114887, 5314,327258,"""04.04.2020"," 11 Uhr""",370,3, 10, 85, 113, 1, 1, 1, 1, 1, 1, 2, 4, 5, 6, 13, 17, 23, 28, 36, 41, 64, 69, 76, 92, 119, 132, 157, 164, 180, 212, 225, 241,259, 268, 272, 294,316,353,"370"
Kreis Borken,51.9419987,6.9812473, 5554,370676,"""04.04.2020"," 11 Uhr""",609,9, 11, 218, 164,,,,,,,,,, 1, 1, 3, 19, 27, 45, 82, 104, 131, 187, 226, 252, 274, 282, 300, 323, 353, 382, 399,424, 443, 455, 497,547,566,"609"
Bottrop,51.52873,6.943227, 5512,117383,"""04.04.2020"," 11 Uhr""",55,1, 8, 21, 47,,,,, 1, 5, 5, 5, 5, 6, 7, 14, 3, 3, 3, 4, 7, 9, 10, 16, 16, 16, 17, 18, 23, 23, 25, 32,37, 38, 43, 44,47,51,"55"
Kreis Coesfeld,51.941946,7.166349, 5558,219929,"""04.04.2020"," 11 Uhr""",375,7, 10, 140, 171,,,,, 13, 13, 16, 18, 21, 21, 22, 28, 33, 39, 47, 50, 53, 70, 93, 116, 129, 152, 152, 172, 184, 216, 245, 274,303, 304, 313, 339,361,372,"375"
Dortmund,51.5135872,7.4652981, 5913,587010,"""04.04.2020"," 11 Uhr""",380,1, 9, 160, 65,,,,, 2, 2, 2, 4, 4, 5, 12, 12, 14, 14, 19, 33, 49, 65, 76, 140, 140, 140, 160, 174, 183, 214, 238, 238,256, 256, 275, 304,334,380,"380"
Duisburg,51.47994,6.75966, 5112,498590,"""04.04.2020"," 11 Uhr""",379,2, 10, 122, 76,, 1, 1, 1, 1, 2, 2, 2, 3, 3, 7, 9, 10, 14, 14, 30, 46, 52, 63, 81, 89, 89, 133, 160, 174, 200, 245, 234,276, 286, 312, 330,351,367,"379"
Kreis DÃ¼ren,50.801834,6.48195, 5358,263722,"""04.04.2020"," 11 Uhr""",335,9, 10, 132, 127, 1, 1, 1, 2, 4, 4, 4, 4, 5, 6, 7, 9, 15, 18, 24, 39, 47, 57, 80, 107, 118, 130, 142, 151, 166, 189, 192, 217,232, 246, 252, 272,282,319,"335"
DÃ¼sseldorf,51.226297,6.801324, 5111,619294,"""04.04.2020"," 11 Uhr""",543,4, 12, 226, 88,,, 1, 1, 1, 3, 3, 3, 3, 5, 6, 7, 16, 23, 36, 36, 97, 97, 154, 187, 189, 189, 205, 280, 261, 290, 317, 319,359, 363, 410, 455,496,538,"543"
Ennepe-Ruhr-Kreis,51.366277,7.310078, 5954,324296,"""04.04.2020"," 11 Uhr""",229,1, 7, 85, 71,,,,,,,,,,, 1, 1, 3, 3, 14, 17, 17, 32, 38, 45, 45, 52, 76, 76, 91, 99, 108, 108,159, 175, 192, 210,216,229,"229"
Essen,51.468739,7.019603, 5113,583109,"""04.04.2020"," 11 Uhr""",481,9, 12, 196, 82, 1, 1, 1, 2, 5, 5, 6, 6, 6, 5, 9, 12, 20, 34, 52, 80, 89, 115, 154, 164, 164, 218, 228, 254, 266, 292, 349, 360,360, 399, 414, 420,430,457,"481"
Kreis Euskirchen,50.5320004,6.6364339, 5366,192840,"""04.04.2020"," 11 Uhr""",165,2, 8, 65, 86,,,,, 1, 1, 1, 1, 2, 2, 2, 3, 4, 5, 6, 12, 12, 19, 26, 42, 45, 51, 53, 61, 61, 64, 95, 101,105, 120, 126, 133,154,165,"165"
