city,lat,long,ags,population,date,cases,tot,gesund,Verdopplungstage,pro100000,01.03.,02.03.,03.03.,04.03.,05.03.,06.03.,07.03.,08.03.,09.03.,10.03.,11.03.,12.03.,13.03.,14.03.,15.03.,16.03.,17.03.,18.03.,19.03.,20.03.,21.03.,22.03.,23.03.,24.03.,25.03.,26.03.,27.03.,28.03.,29.03.,30.03.,31.03.,01.04.,02.04.,03.04.,04.04.,05.04.,06.04.,07.04.,08.04.,09.04.,10.04.,11.04.,"12.04.",
NRW,,,,17932651,"""09.04.2020"," 10 Uhr""",26333,569,12832, 12, 147,92,90,129,129,302,361,377,484,524,642,801,1041,1433,1636,2100,2744,3374,4268,4971,6257,6740,7361,8224,9087,9686,10872,12017,12744,13630,14442,15251,16343,17614,18557,19405,20523,20814,21825,22849,23605,24499,25651,"26333"
Aachen & Region,50.749709,6.213554, 5334,555465,"""12.04.2020"," 12 Uhr""",1508,50,854, 15, 271, 14, 10, 10, 13, 33, 41, 51, 57, 58, 61, 63, 63, 85, 85, 140, 169, 211, 273, 343, 361, 436, 501, 530, 540, 540, 618, 649, 746,787, 824, 920, 980,1081,1155,1210,1259,1272,1295,1367,1426,1465,1465,"1508"
Bielefeld,52.018202,8.577806, 5711,333786,"""12.04.2020"," 12 Uhr""",291,1,122, 14, 87,,,,,,,, 2, 2, 2, 5, 9, 17, 17, 17, 27, 28, 49, 49, 66, 66, 81, 98, 104, 120, 132, 142, 142,146, 169, 169, 177,316,334,205,209,222,224,233,269,276,285,"291"
Bochum,51.474951,7.213937, 5911,364628,"""12.04.2020"," 12 Uhr""",381,12,242, 17, 104,,,,, 1, 2, 2, 3, 4, 4, 5, 8, 18, 18, 20, 26, 26, 30, 39, 77, 77, 99, 141, 143, 173, 186, 219, 219,219, 245, 269, 275,275,301,301,315,330,335,342,348,348,365,"381"
Bonn,50.724104,7.114887, 5314,327258,"""12.04.2020"," 12 Uhr""",504,2,118, 15, 154, 1, 1, 1, 1, 1, 1, 2, 4, 5, 6, 13, 17, 23, 28, 36, 41, 64, 69, 76, 92, 119, 132, 157, 164, 180, 212, 225, 241,259, 268, 272, 294,316,353,370,395,412,416,517,447,474,484,"504"
Kreis Borken,51.9419987,6.9812473, 5554,370676,"""12.04.2020"," 12 Uhr""",770,21,373, 11, 208,,,,,,,,,, 1, 1, 3, 19, 27, 45, 82, 104, 131, 187, 226, 252, 274, 282, 300, 323, 353, 382, 399,424, 443, 455, 497,547,566,609,650,650,681,699,722,753,765,"770"
Bottrop,51.52873,6.943227, 5512,117383,"""12.04.2020"," 12 Uhr""",87,3,39, 15, 74,,,,, 1, 5, 5, 5, 5, 6, 7, 14, 3, 3, 3, 4, 7, 9, 10, 16, 16, 16, 17, 18, 23, 23, 25, 32,37, 38, 43, 44,47,51,55,60,60,66,71,78,82,85,"87"
Kreis Coesfeld,51.941946,7.166349, 5558,219929,"""12.04.2020"," 12 Uhr""",454,11,216, 15, 206,,,,, 13, 13, 16, 18, 21, 21, 22, 28, 33, 39, 47, 50, 53, 70, 93, 116, 129, 152, 152, 172, 184, 216, 245, 274,303, 304, 313, 339,361,372,375,394,394,409,417,431,439,451,"454"
Dortmund,51.5135872,7.4652981, 5913,587010,"""12.04.2020"," 12 Uhr""",538,3,256, 15, 92,,,,, 2, 2, 2, 4, 4, 5, 12, 12, 14, 14, 19, 33, 49, 65, 76, 140, 140, 140, 160, 174, 183, 214, 238, 238,256, 256, 275, 304,334,380,380,380,393,425,483,497,507,527,"538"
Duisburg,51.47994,6.75966, 5112,498590,"""12.04.2020"," 12 Uhr""",549,8,294, 15, 110,, 1, 1, 1, 1, 2, 2, 2, 3, 3, 7, 9, 10, 14, 14, 30, 46, 52, 63, 81, 89, 89, 133, 160, 174, 200, 245, 234,276, 286, 312, 330,351,367,379,394,404,440,469,506,525,539,"549"
Kreis DÃ¼ren,50.801834,6.48195, 5358,263722,"""12.04.2020"," 12 Uhr""",447,13,208, 17, 169, 1, 1, 1, 2, 4, 4, 4, 4, 5, 6, 7, 9, 15, 18, 24, 39, 47, 57, 80, 107, 118, 130, 142, 151, 166, 189, 192, 217,232, 246, 252, 272,282,319,335,346,352,354,374,391,420,441,"447"
DÃ¼sseldorf,51.226297,6.801324, 5111,619294,"""12.04.2020"," 12 Uhr""",760,9,362, 15, 123,,, 1, 1, 1, 3, 3, 3, 3, 5, 6, 7, 16, 23, 36, 36, 97, 97, 154, 187, 189, 189, 205, 280, 261, 290, 317, 319,359, 363, 410, 455,496,538,543,575,575,586,649,678,743,750,"760"
Ennepe-Ruhr-Kreis,51.366277,7.310078, 5954,324296,"""12.04.2020"," 12 Uhr""",323,4,180, 15, 100,,,,,,,,,,, 1, 1, 3, 3, 14, 17, 17, 32, 38, 45, 45, 52, 76, 76, 91, 99, 108, 108,159, 175, 192, 210,216,229,229,315,263,280,289,297,309,313,"323"
Essen,51.468739,7.019603, 5113,583109,"""12.04.2020"," 12 Uhr""",611,22,304, 15, 105, 1, 1, 1, 2, 5, 5, 6, 6, 6, 5, 9, 12, 20, 34, 52, 80, 89, 115, 154, 164, 164, 218, 228, 254, 266, 292, 349, 360,360, 399, 414, 420,430,457,481,501,515,533,555,555,593,606,"611"
Kreis Euskirchen,50.5320004,6.6364339, 5366,192840,"""12.04.2020"," 12 Uhr""",271,6,103, 13, 141,,,,, 1, 1, 1, 1, 2, 2, 2, 3, 4, 5, 6, 12, 12, 19, 26, 42, 45, 51, 53, 61, 61, 64, 95, 101,105, 120, 126, 133,154,165,165,209,209,217,219,229,236,253,"271"
Gelsenkirchen,51.517744,7.0857172, 5513,260654,"""12.04.2020"," 12 Uhr""",238,4,49, 15, 91,,,,, 3, 3, 3, 3, 3, 4, 4, 4, 7, 9, 12, 13, 18, 21, 36, 38, 41, 41, 47, 52, 55, 62, 73, 81,91, 94, 107, 119,133,143,159,170,170,194,210,212,181,238,"238"
Kreis GÃ¼tersloh,51.903311,8.390601, 5754,364083,"""12.04.2020"," 12 Uhr""",544,12,319, 13, 149,,,,, 1, 1,,,,, 5, 15, 15, 15, 45, 71, 80, 91, 100, 169, 179, 202, 224, 254, 254, 315, 335, 335,356, 372, 387, 401,432,340,446,470,481,487,504,531,531,531,"544"
Hagen,51.371236,7.487553, 5914,188814,"""12.04.2020"," 12 Uhr""",162,2,83, 15, 86,,,,,,,,, 1, 1, 3, 3, 3, 5, 5, 6, 8, 11, 22, 31, 31, 37, 43, 50, 55, 55, 55, 62,62, 80, 80, 82,92,96,96,96,119,122,125,135,135,141,"162"
Hamm,51.674274,7.821892, 5915,179111,"""12.04.2020"," 12 Uhr""",311,9,127, 15, 174,,,,,,,,,,,,, 2, 4, 4, 4, 8, 16, 26, 49, 54, 62, 85, 90, 94, 109, 117, 131,146, 153, 157, 171,182,117,217,243,251,263,274,284,284,302,"311"
Kreis Heinsberg,51.06395,6.098857, 5370,254322,"""12.04.2020"," 12 Uhr""",1573,51,1041, 13, 619, 65, 65, 78, 87, 197, 214, 214, 277, 292, 365, 403, 483, 558, 589, 650, 690, 760, 811, 845, 916, 916, 964, 1004, 1043, 1056, 1124, 1166, 1202,1246, 1265, 1266, 1331,1406,1432,1432,1461,1464,1476,1513,1537,1537,1552,"1573"
Kreis Herford,52.1759015,8.5988205, 5758,250783,"""12.04.2020"," 12 Uhr""",282,3,121, 13, 112,,,,,, 2, 2, 2, 2, 2, 4, 5, 9, 19, 22, 26, 26, 52, 52, 84, 85, 97, 99, 104, 117, 122, 133, 138,143, 148, 152, 176,194,194,213,231,237,241,251,267,267,275,"282"
Herne,51.540584,7.20971, 5916,156374,"""12.04.2020"," 12 Uhr""",97,-,47, 15, 62,,,,,,,,,,, 2, 4, 4, 4, 5, 8, 8, 7, 13, 13, 16, 23, 23, 27, 27, 41, 42, 45,51, 55, 57, 58,64,66,68,68,69,72,78,86,90,93,"97"
Hochsauerlandkreis,51.24509,8.301315, 5958,260475,"""12.04.2020"," 12 Uhr""",498,8,244, 15, 191,,,,,,,,,, 1, 1, 6, 14, 20, 30, 31, 37, 80, 82, 99, 103, 116, 131, 149, 160, 183, 206, 213,231, 244, 253, 286,313,346,346,379,396,403,414,428,428,428,"498"
Kreis HÃ¶xter,51.775929,9.380873, 5762,140667,"""12.04.2020"," 12 Uhr""",189,1,69, 10, 134,,,,,,,,,,,,,,,, 2, 4, 7, 7, 16, 16, 20, 21, 22, 33, 39, 54, 54,63, 66, 71, 71,78,78,99,122,148,152,154,167,167,167,"189"
Kreis Kleve,51.7794,6.126757, 5154,310974,"""12.04.2020"," 12 Uhr""",421,8,180, 16, 135,,,,,,,,,, 1, 2, 4, 10, 14, 32, 36, 66, 66, 74, 89, 109, 109, 109, 126, 150, 166, 211, 211,233, 233, 237, 242,264,272,285,285,285,304,312,332,335,401,"421"
KÃ¶ln,50.94718,6.934628, 5315,1085664,"""12.04.2020"," 12 Uhr""",2002,44,1186, 15, 184, 5, 5, 6, 7, 12, 18, 20, 30, 30, 33, 43, 63, 83, 83, 129, 274, 274, 430, 430, 629, 629, 688, 809, 880, 880, 980, 1017, 1116,1212, 1290, 1343, 1405,1499,1657,1694,1738,1738,1777,1815,1866,1912,1957,"2002"
Krefeld,51.337869,6.585484, 5114,227020,"""12.04.2020"," 12 Uhr""",323,5,205, 15, 142,,,,,,,,,,,, 2, 10, 10, 10, 19, 36, 53, 53, 71, 71, 71, 92, 97, 110, 138, 147, 185,185, 208, 211, 225,240,251,264,264,269,272,292,305,315,321,"323"
Leverkusen,51.048254,7.029976, 5316,163838,"""12.04.2020"," 12 Uhr""",166,2,76, 17, 101,,,,,,,,,,, 2, 3, 5, 5, 9, 20, 21, 31, 33, 40, 45, 48, 48, 58, 65, 74, 82, 88,102, 102, 113, 127,131,141,146,149,149,155,158,160,84,161,"166"
Kreis Lippe,51.9759031,8.9865279, 5766,348391,"""12.04.2020"," 12 Uhr""",571,9,191, 14, 164,,,,, 1, 1, 1, 1, 3, 11, 19, 21, 36, 37, 37, 56, 56, 107, 107, 133, 133, 138, 170, 188, 204, 230, 261, 261,279, 302, 325, 347,393,393,429,455,468,496,509,546,546,546,"571"
MÃ¤rkischer Kreis,51.285488,7.734746, 5962,412120,"""12.04.2020"," 12 Uhr""",335,8,64, 17, 81, 1,, 1, 1, 3, 5, 5, 5, 5, 6, 7, 10, 13, 13, 13, 17, 21, 27, 34, 36, 38, 38, 47, 47, 54, 73, 81, 89,100, 115, 127, 146,164,175,175,167,167,230,241,264,264,290,"335"
Kreis Mettmann,51.252811,6.970846, 5158,485684,"""12.04.2020"," 12 Uhr""",831,26,377, 14, 171,,,, 1, 1, 2, 2, 6, 6, 8, 11, 16, 19, 19, 19, 19, 44, 63, 87, 104, 113, 113, 173, 199, 217, 243, 249, 271,284, 306, 361, 379,381,451,484,529,529,585,615,657,775,805,"831"
