city,lat,long,ags,population,url,date,cases,proKopf,gesund,tot,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,"24.03.2020",
KÃ¶ln,50.94718,6.934628,05315,1085664,https://www.koeln.de/koeln/nachrichten/lokales/coronavirus-in-koeln-der-aktuelle-stand_1144487.html,"""24.03.2020"," 16 Uhr""",880,1234,11,3,5,5,6,7,12,18,20,30,30,33,43,63,83,83,129,274,274,430,430,629,629,688,809,"880"
Krefeld,51.337869,6.585484,05114,227020,,"""24.03.2020"," 16 Uhr""",97,2340,0,,0,0,0,0,0,0,0,0,0,0,0,2,10,10,10,19,36,53,53,71,71,71,92,"97"
Leverkusen,51.048254,7.029976,05316,163838,,"""24.03.2020"," 16 Uhr""",58,2825,0,,0,0,0,0,0,0,0,0,0,0,2,3,5,5,9,20,21,31,33,40,45,48,48,"58"
Kreis Lippe,51.9759031,8.9865279,05766,348391,,"""24.03.2020"," 16 Uhr""",188,1853,0,1,0,0,0,0,1,1,1,1,3,11,19,21,36,37,37,56,56,107,107,133,133,138,170,"188"
MÃ¤rkischer Kreis,51.285488,7.734746,05962,412120,,"""24.03.2020"," 16 Uhr""",47,8769,0,,1,0,1,1,3,5,5,5,5,6,7,10,13,13,13,17,21,27,34,36,38,38,47,"47"
Kreis Mettmann,51.252811,6.970846,05158,485684,,"""24.03.2020"," 16 Uhr""",199,2441,0,2,0,0,0,1,1,2,2,6,6,8,11,16,19,19,19,19,44,63,87,104,113,113,173,"199"
Kreis Minden-LÃ¼bbecke,52.3351538,8.7623421,05770,310710,,"""24.03.2020"," 16 Uhr""",184,1689,0,,0,0,0,0,0,1,2,4,5,5,9,10,14,32,47,61,74,97,121,140,140,148,166,"184"
MÃ¶nchengladbach,51.1821,6.428687,05116,261454,,"""24.03.2020"," 16 Uhr""",106,2467,0,,1,1,1,1,3,5,7,7,7,8,8,17,23,23,36,36,37,37,46,68,77,77,77,"106"
MÃ¼lheim an der Ruhr,51.437117,6.894836,05117,170880,,"""24.03.2020"," 16 Uhr""",45,3797,0,,0,0,0,0,0,0,0,0,0,0,0,4,9,9,9,9,12,14,21,30,36,36,36,"45"
MÃ¼nster,51.954044,7.624747,05515,314319,,"""24.03.2020"," 16 Uhr""",295,1065,0,,1,1,1,2,4,8,4,4,5,6,8,14,23,41,56,90,90,114,158,191,219,243,276,"295"
Oberbergischer Kreis,50.971448,7.579776,05374,272471,,"""24.03.2020"," 16 Uhr""",101,2698,0,,0,0,0,2,2,5,5,5,5,6,10,11,14,14,19,27,27,50,50,57,71,75,94,"101"
Oberhausen,51.498071,6.862345,05119,210829,,"""24.03.2020"," 16 Uhr""",37,5698,0,,0,0,0,0,0,0,0,0,0,0,1,1,8,8,8,8,13,13,18,35,35,35,37,"37"
Kreis Olpe,51.026592,7.849124,05966,134775,,"""24.03.2020"," 16 Uhr""",19,7093,0,,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,6,14,15,17,17,17,19,"19"
Kreis Paderborn,51.7156948,8.7464185,05774,306890,,"""24.03.2020"," 16 Uhr""",98,3132,0,,0,0,0,0,0,1,1,2,2,2,6,6,18,32,36,37,45,56,59,71,75,78,92,"98"
Kreis Recklinghausen,51.6783004,7.1311409,05562,615261,,"""24.03.2020"," 16 Uhr""",170,3619,0,,0,0,0,0,1,1,1,1,1,2,9,16,31,41,47,51,56,69,80,100,127,143,150,"170"
Remscheid,51.180907,7.180644,05120,110994,,"""24.03.2020"," 16 Uhr""",33,3363,0,,0,0,0,0,0,0,0,1,4,4,4,5,7,7,8,8,9,10,13,19,21,21,30,"33"
Rhein-Erft-Kreis,50.926461,6.69704,05362,470089,,"""24.03.2020"," 16 Uhr""",199,2362,0,,0,1,1,1,2,2,2,2,2,3,6,10,13,24,36,58,82,90,106,124,154,181,180,"199"
Rheinisch-Bergischer Kreis,51.013579,7.181018,05378,283455,,"""24.03.2020"," 16 Uhr""",135,2100,0,1,0,0,0,2,3,3,3,4,9,11,12,18,28,29,30,52,52,60,60,81,81,95,108,"135"
Rhein-Kreis Neuss,51.134897,6.645946,05162,451007,,"""24.03.2020"," 16 Uhr""",153,2948,0,3,0,0,0,1,1,1,1,1,1,1,5,8,15,15,15,24,50,50,50,85,96,119,140,"153"
Rhein-Sieg-Kreis,50.7413603,7.3151707,05382,599780,,"""24.03.2020"," 16 Uhr""",335,1790,0,,0,0,0,0,0,2,2,2,5,11,19,24,32,32,63,78,78,139,139,248,248,262,305,"335"
Kreis Siegen Wittgenstein,50.892976,8.0748,05970,278210,,"""24.03.2020"," 16 Uhr""",51,5455,0,,0,0,0,0,0,0,0,0,0,0,1,1,10,10,10,15,15,26,29,29,29,39,47,"51"
Kreis Soest,51.568226,8.113109,05974,301902,,"""24.03.2020"," 16 Uhr""",110,2745,0,,0,0,0,0,0,0,0,0,0,0,1,3,9,9,9,15,15,39,49,57,57,73,93,"110"
Solingen,51.176385,7.070708,05122,159360,,"""24.03.2020"," 16 Uhr""",51,3125,0,,0,0,0,0,0,0,0,0,0,4,4,4,6,6,7,7,31,31,32,35,38,38,38,"51"
Kreis Steinfurt,52.144456,7.331065,05566,447614,,"""24.03.2020"," 16 Uhr""",240,1865,0,,0,0,0,0,0,0,0,2,2,5,11,22,31,43,61,80,91,114,138,164,188,201,207,"240"
Kreis Unna,51.537065,7.685846,05978,394782,,"""24.03.2020"," 16 Uhr""",108,3655,0,,0,1,1,1,1,1,1,8,8,4,6,6,13,13,14,19,19,25,46,60,60,60,98,"108"
Kreis Viersen,51.254239,6.396321,05166,298935,,"""24.03.2020"," 16 Uhr""",168,1779,0,1,1,1,2,2,3,5,5,5,5,6,6,6,16,16,16,16,43,43,59,70,123,123,123,"168"
Kreis Warendorf,51.8393825,8.016104,05570,277783,,"""24.03.2020"," 16 Uhr""",210,1323,0,,0,0,0,0,0,0,1,2,2,4,5,8,14,27,47,59,65,89,111,146,186,208,203,"210"
Kreis Wesel ,51.664636,6.625631,05170,459809,,"""24.03.2020"," 16 Uhr""",146,3149,0,1,1,1,1,1,1,1,1,1,1,1,4,12,19,19,19,36,116,116,132,132,124,124,132,"146"
Wuppertal,51.265292,7.143049,05124,354382,,"""24.03.2020"," 16 Uhr""",110,3222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,14,31,31,50,61,74,74,74,110
