city,lat,long,ags,population,date,cases,pro100000,gesund,tot,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,"29.03.2020",
Aachen & Region,50.749709,6.213554,05334,555465,"""29.03.2020"," 11.30 Uhr""",787,142,0,14,14,10,10,13,33,41,51,57,58,61,63,63,85,85,140,169,211,273,343,361,436,501,530,540,540,618,649,746,"787"
Bielefeld,52.018202,8.577806,05711,333786,"""29.03.2020"," 11.30 Uhr""",146,44,0,-,0,0,0,0,0,0,0,2,2,2,5,9,17,17,17,27,28,49,49,66,66,81,98,104,120,132,142,142,"146"
Bochum,51.474951,7.213937,05911,364628,"""29.03.2020"," 11.30 Uhr""",219,60,0,4,0,0,0,0,1,2,2,3,4,4,5,8,18,18,20,26,26,30,39,77,77,99,141,143,173,186,219,219,"219"
Bonn,50.724104,7.114887,05314,327258,"""29.03.2020"," 11.30 Uhr""",259,79,0,1,1,1,1,1,1,1,2,4,5,6,13,17,23,28,36,41,64,69,76,92,119,132,157,164,180,212,225,241,"259"
Kreis Borken,51.9419987,6.9812473,05554,370676,"""29.03.2020"," 11.30 Uhr""",424,114,1,4,0,0,0,0,0,0,0,0,0,1,1,3,19,27,45,82,104,131,187,226,252,274,282,300,323,353,382,399,"424"
Bottrop,51.52873,6.943227,05512,117383,"""29.03.2020"," 11.30 Uhr""",37,32,0,1,0,0,0,0,1,5,5,5,5,6,7,14,3,3,3,4,7,9,10,16,16,16,17,18,23,23,25,32,"37"
Kreis Coesfeld,51.941946,7.166349,05558,219929,"""29.03.2020"," 11.30 Uhr""",303,138,0,1,0,0,0,0,13,13,16,18,21,21,22,28,33,39,47,50,53,70,93,116,129,152,152,172,184,216,245,274,"303"
Dortmund,51.5135872,7.4652981,05913,587010,"""29.03.2020"," 11.30 Uhr""",256,44,0,-,0,0,0,0,2,2,2,4,4,5,12,12,14,14,19,33,49,65,76,140,140,140,160,174,183,214,238,238,"256"
Duisburg,51.47994,6.75966,05112,498590,"""29.03.2020"," 11.30 Uhr""",276,55,0,1,0,1,1,1,1,2,2,2,3,3,7,9,10,14,14,30,46,52,63,81,89,89,133,160,174,200,245,234,"276"
Kreis DÃ¼ren,50.801834,6.48195,05358,263722,"""29.03.2020"," 11.30 Uhr""",232,88,0,1,1,1,1,2,4,4,4,4,5,6,7,9,15,18,24,39,47,57,80,107,118,130,142,151,166,189,192,217,"232"
DÃ¼sseldorf,51.226297,6.801324,05111,619294,"""29.03.2020"," 11.30 Uhr""",359,58,0,2,0,0,1,1,1,3,3,3,3,5,6,7,16,23,36,36,97,97,154,187,189,189,205,280,261,290,317,319,"359"
Ennepe-Ruhr-Kreis,51.366277,7.310078,05954,324296,"""29.03.2020"," 11.30 Uhr""",159,49,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,14,17,17,32,38,45,45,52,76,76,91,99,108,108,"159"
Essen,51.468739,7.019603,05113,583109,"""29.03.2020"," 11.30 Uhr""",360,62,0,6,1,1,1,2,5,5,6,6,6,5,9,12,20,34,52,80,89,115,154,164,164,218,228,254,266,292,349,360,"360"
Kreis Euskirchen,50.5320004,6.6364339,05366,192840,"""29.03.2020"," 11.30 Uhr""",105,54,0,-,0,0,0,0,1,1,1,1,2,2,2,3,4,5,6,12,12,19,26,42,45,51,53,61,61,64,95,101,"105"
Gelsenkirchen,51.517744,7.0857172,05513,260654,"""29.03.2020"," 11.30 Uhr""",91,35,0,-,0,0,0,0,3,3,3,3,3,4,4,4,7,9,12,13,18,21,36,38,41,41,47,52,55,62,73,81,"91"
Kreis GÃ¼tersloh,51.903311,8.390601,05754,364083,"""29.03.2020"," 11.30 Uhr""",356,98,0,1,0,0,0,0,1,1,0,0,0,0,5,15,15,15,45,71,80,91,100,169,179,202,224,254,254,315,335,335,"356"
Hagen,51.371236,7.487553,05914,188814,"""29.03.2020"," 11.30 Uhr""",62,33,0,2,0,0,0,0,0,0,0,0,1,1,3,3,3,5,5,6,8,11,22,31,31,37,43,50,55,55,55,62,"62"
Hamm,51.674274,7.821892,05915,179111,"""29.03.2020"," 11.30 Uhr""",146,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,8,16,26,49,54,62,85,90,94,109,117,131,"146"
Kreis Heinsberg,51.06395,6.098857,05370,254322,"""29.03.2020"," 11.30 Uhr""",1246,490,157,31,65,65,78,87,197,214,214,277,292,365,403,483,558,589,650,690,760,811,845,916,916,964,1004,1043,1056,1124,1166,1202,"1246"
Kreis Herford,52.1759015,8.5988205,05758,250783,"""29.03.2020"," 11.30 Uhr""",143,57,0,-,0,0,0,0,0,2,2,2,2,2,4,5,9,19,22,26,26,52,52,84,85,97,99,104,117,122,133,138,"143"
Herne,51.540584,7.20971,05916,156374,"""29.03.2020"," 11.30 Uhr""",51,33,0,-,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,8,8,7,13,13,16,23,23,27,27,41,42,45,"51"
Hochsauerlandkreis,51.24509,8.301315,05958,260475,"""29.03.2020"," 11.30 Uhr""",231,89,0,-,0,0,0,0,0,0,0,0,0,1,1,6,14,20,30,31,37,80,82,99,103,116,131,149,160,183,206,213,"231"
Kreis HÃ¶xter,51.775929,9.380873,05762,140667,"""29.03.2020"," 11.30 Uhr""",63,45,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7,16,16,20,21,22,33,39,54,54,"63"
Kreis Kleve,51.7794,6.126757,05154,310974,"""29.03.2020"," 11.30 Uhr""",233,75,0,2,0,0,0,0,0,0,0,0,0,1,2,4,10,14,32,36,66,66,74,89,109,109,109,126,150,166,211,211,"233"
KÃ¶ln,50.94718,6.934628,05315,1085664,"""29.03.2020"," 11.30 Uhr""",1212,112,11,7,5,5,6,7,12,18,20,30,30,33,43,63,83,83,129,274,274,430,430,629,629,688,809,880,880,980,1017,1116,"1212"
Krefeld,51.337869,6.585484,05114,227020,"""29.03.2020"," 11.30 Uhr""",185,81,0,-,0,0,0,0,0,0,0,0,0,0,0,2,10,10,10,19,36,53,53,71,71,71,92,97,110,138,147,185,"185"
Leverkusen,51.048254,7.029976,05316,163838,"""29.03.2020"," 11.30 Uhr""",102,62,0,-,0,0,0,0,0,0,0,0,0,0,2,3,5,5,9,20,21,31,33,40,45,48,48,58,65,74,82,88,"102"
Kreis Lippe,51.9759031,8.9865279,05766,348391,"""29.03.2020"," 11.30 Uhr""",279,80,0,2,0,0,0,0,1,1,1,1,3,11,19,21,36,37,37,56,56,107,107,133,133,138,170,188,204,230,261,261,"279"
MÃ¤rkischer Kreis,51.285488,7.734746,05962,412120,"""29.03.2020"," 11.30 Uhr""",100,24,0,-,1,0,1,1,3,5,5,5,5,6,7,10,13,13,13,17,21,27,34,36,38,38,47,47,54,73,81,89,"100"
Kreis Mettmann,51.252811,6.970846,05158,485684,"""29.03.2020"," 11.30 Uhr""",284,58,0,4,0,0,0,1,1,2,2,6,6,8,11,16,19,19,19,19,44,63,87,104,113,113,173,199,217,243,249,271,"284"
Kreis Minden-LÃ¼bbecke,52.3351538,8.7623421,05770,310710,"""29.03.2020"," 11.30 Uhr""",246,79,0,-,0,0,0,0,0,1,2,4,5,5,9,10,14,32,47,61,74,97,121,140,140,148,166,184,207,223,241,241,"246"
MÃ¶nchengladbach,51.1821,6.428687,05116,261454,"""29.03.2020"," 11.30 Uhr""",168,64,0,1,1,1,1,1,3,5,7,7,7,8,8,17,23,23,36,36,37,37,46,68,77,77,77,106,118,123,146,163,"168"
MÃ¼lheim an der Ruhr,51.437117,6.894836,05117,170880,"""29.03.2020"," 11.30 Uhr""",62,36,0,1,0,0,0,0,0,0,0,0,0,0,0,4,9,9,9,9,12,14,21,30,36,36,36,45,52,52,53,62,"62"
MÃ¼nster,51.954044,7.624747,05515,314319,"""29.03.2020"," 11.30 Uhr""",443,141,0,2,1,1,1,2,4,8,4,4,5,6,8,14,23,41,56,90,90,114,158,191,219,243,276,295,312,361,388,414,"443"
Oberbergischer Kreis,50.971448,7.579776,05374,272471,"""29.03.2020"," 11.30 Uhr""",182,67,0,1,0,0,0,2,2,5,5,5,5,6,10,11,14,14,19,27,27,50,50,57,71,75,94,101,116,133,161,170,"182"
Oberhausen,51.498071,6.862345,05119,210829,"""29.03.2020"," 11.30 Uhr""",63,30,0,-,0,0,0,0,0,0,0,0,0,0,1,1,8,8,8,8,13,13,18,35,35,35,37,37,39,44,54,61,"63"
Kreis Olpe,51.026592,7.849124,05966,134775,"""29.03.2020"," 11.30 Uhr""",102,76,0,-,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,6,14,15,17,17,17,19,19,35,45,85,89,"102"
Kreis Paderborn,51.7156948,8.7464185,05774,306890,"""29.03.2020"," 11.30 Uhr""",187,61,0,-,0,0,0,0,0,1,1,2,2,2,6,6,18,32,36,37,45,56,59,71,75,78,92,98,105,139,152,152,"187"
Kreis Recklinghausen,51.6783004,7.1311409,05562,615261,"""29.03.2020"," 11.30 Uhr""",322,52,0,-,0,0,0,0,1,1,1,1,1,2,9,16,31,41,47,51,56,69,80,100,127,143,150,170,195,246,277,309,"322"
Remscheid,51.180907,7.180644,05120,110994,"""29.03.2020"," 11.30 Uhr""",56,50,0,1,0,0,0,0,0,0,0,1,4,4,4,5,7,7,8,8,9,10,13,19,21,21,30,33,34,38,43,52,"56"
Rhein-Erft-Kreis,50.926461,6.69704,05362,470089,"""29.03.2020"," 11.30 Uhr""",296,63,0,1,0,1,1,1,2,2,2,2,2,3,6,10,13,24,36,58,82,90,106,124,154,181,180,199,244,258,276,296,"296"
Rheinisch-Bergischer Kreis,51.013579,7.181018,05378,283455,"""29.03.2020"," 11.30 Uhr""",171,60,0,1,0,0,0,2,3,3,3,4,9,11,12,18,28,29,30,52,52,60,60,81,81,95,108,135,137,141,162,163,"171"
Rhein-Kreis Neuss,51.134897,6.645946,05162,451007,"""29.03.2020"," 11.30 Uhr""",282,63,0,4,0,0,0,1,1,1,1,1,1,1,5,8,15,15,15,24,50,50,50,85,96,119,140,153,194,225,266,282,"282"
Rhein-Sieg-Kreis,50.7413603,7.3151707,05382,599780,"""29.03.2020"," 11.30 Uhr""",490,82,0,2,0,0,0,0,0,2,2,2,5,11,19,24,32,32,63,78,78,139,139,248,248,262,305,335,335,356,417,460,"490"
Kreis Siegen Wittgenstein,50.892976,8.0748,05970,278210,"""29.03.2020"," 11.30 Uhr""",92,33,0,1,0,0,0,0,0,0,0,0,0,0,1,1,10,10,10,15,15,26,29,29,29,39,47,51,60,61,79,79,"92"
Kreis Soest,51.568226,8.113109,05974,301902,"""29.03.2020"," 11.30 Uhr""",176,58,0,-,0,0,0,0,0,0,0,0,0,0,1,3,9,9,9,15,15,39,49,57,57,73,93,110,121,135,153,153,"176"
Solingen,51.176385,7.070708,05122,159360,"""29.03.2020"," 11.30 Uhr""",87,55,0,-,0,0,0,0,0,0,0,0,0,4,4,4,6,6,7,7,31,31,32,35,38,38,38,51,54,66,71,81,"87"
Kreis Steinfurt,52.144456,7.331065,05566,447614,"""29.03.2020"," 11.30 Uhr""",388,87,0,1,0,0,0,0,0,0,0,2,2,5,11,22,31,43,61,80,91,114,138,164,188,201,207,240,251,292,328,353,"388"
Kreis Unna,51.537065,7.685846,05978,394782,"""29.03.2020"," 11.30 Uhr""",171,43,0,2,0,1,1,1,1,1,1,8,8,4,6,6,13,13,14,19,19,25,46,60,60,60,98,108,124,146,162,162,"171"
