city,lat,long,ags,population,url,date,cases,proKopf,gesund,tot,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,"21.03.2020",
Aachen & Region,50.749709,6.213554,05334,555465,https://www.staedteregion-aachen.de/de/navigation/aemter/oeffentlichkeitsarbeit-s-13/aktuelles/pressemitteilungen/aktuelle-pressemitteilungen/coronavirus/,"""21.03.2020"," 11.30 Uhr""",436,1274,0,4,6,10,10,13,33,41,51,57,58,61,63,63,85,85,140,169,211,273,343,361,"436"
Bielefeld,52.018202,8.577806,05711,333786,https://www.bielefeld.de/de/gs/covi/,"""21.03.2020"," 11.30 Uhr""",66,5057,0,0,0,0,0,0,0,0,0,2,2,2,5,9,17,17,17,27,28,49,49,66,"66"
Bochum,51.474951,7.213937,05911,364628,https://www.bochum.de/Corona/,"""21.03.2020"," 11.30 Uhr""",77,4735,0,1,0,0,0,0,1,2,2,3,4,4,5,8,18,18,20,26,26,30,39,77,"77"
Bonn,50.724104,7.114887,05314,327258,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php,"""21.03.2020"," 11.30 Uhr""",119,2750,0,0,1,1,1,1,1,1,2,4,5,6,13,17,23,28,36,41,64,69,76,92,"119"
Kreis Borken,51.9419987,6.9812473,05554,370676,https://kreis-borken.de/index.php?id=17236&L=494,"""21.03.2020"," 11.30 Uhr""",252,1471,1,0,0,0,0,0,0,0,0,0,0,1,1,3,19,27,45,82,104,131,187,226,"252"
Bottrop,51.52873,6.943227,05512,117383,https://www.bottrop.de/soziales/gesundheit/infos-zum-coronavirus/index.php,"""21.03.2020"," 11.30 Uhr""",16,7336,0,0,0,0,0,0,1,5,5,5,5,6,7,14,3,3,3,4,7,9,10,16,"16"
Kreis Coesfeld,51.941946,7.166349,05558,219929,https://www.kreis-coesfeld.de/themen-projekte/gesundheit/informationen-zum-coronavirus/pressemeldungen-zum-coronavirus.html,"""21.03.2020"," 11.30 Uhr""",129,1705,0,0,0,0,0,0,13,13,16,18,21,21,22,28,33,39,47,50,53,70,93,116,"129"
Dortmund,51.5135872,7.4652981,05913,587010,https://www.dortmund.de/de/leben_in_dortmund/nachrichtenportal/alle_nachrichten/nachricht.jsp?nid=622746,"""21.03.2020"," 11.30 Uhr""",140,4193,0,0,0,0,0,0,2,2,2,4,4,5,12,12,14,14,19,33,49,65,76,140,"140"
Duisburg,51.47994,6.75966,05112,498590,https://www.duisburg.de/microsites/coronavirus/aktuelles/index.php,"""21.03.2020"," 11.30 Uhr""",89,5602,0,0,0,1,1,1,1,2,2,2,3,3,7,9,10,14,14,30,46,52,63,81,"89"
Kreis DÃ¼ren,50.801834,6.48195,05358,263722,https://www.kreis-dueren.de/aktuelles/presse/corona-aktuelles-komplett.php,"""21.03.2020"," 11.30 Uhr""",118,2235,0,0,1,1,1,2,4,4,4,4,5,6,7,9,15,18,24,39,47,57,80,107,"118"
DÃ¼sseldorf,51.226297,6.801324,05111,619294,https://www.duesseldorf.de/,"""21.03.2020"," 11.30 Uhr""",189,3277,0,1,0,0,1,1,1,3,3,3,3,5,6,7,16,23,36,36,97,97,154,187,"189"
Ennepe-Ruhr-Kreis,51.366277,7.310078,05954,324296,,"""21.03.2020"," 11.30 Uhr""",45,7207,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,14,17,17,32,38,45,"45"
Essen,51.468739,7.019603,05113,583109,,"""21.03.2020"," 11.30 Uhr""",164,3556,0,1,1,1,1,2,5,5,6,6,6,5,9,12,20,34,52,80,89,115,154,164,"164"
Kreis Euskirchen,50.5320004,6.6364339,05366,192840,,"""21.03.2020"," 11.30 Uhr""",45,4285,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,5,6,12,12,19,26,42,"45"
Gelsenkirchen,51.517744,7.0857172,05513,260654,,"""21.03.2020"," 11.30 Uhr""",41,6357,0,0,0,0,0,0,3,3,3,3,3,4,4,4,7,9,12,13,18,21,36,38,"41"
Kreis GÃ¼tersloh,51.903311,8.390601,05754,364083,,"""21.03.2020"," 11.30 Uhr""",179,2034,0,0,0,0,0,0,1,1,0,0,0,0,5,15,15,15,45,71,80,91,100,169,"179"
Hagen,51.371236,7.487553,05914,188814,,"""21.03.2020"," 11.30 Uhr""",31,6091,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,5,5,6,8,11,22,31,"31"
Hamm,51.674274,7.821892,05915,179111,https://www.hamm.de/corona,"""21.03.2020"," 11.30 Uhr""",54,3317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,8,16,26,49,"54"
Kreis Heinsberg,51.06395,6.098857,05370,254322,https://www.kreis-heinsberg.de/aktuelles/aktuelles/?pid=5142,"""21.03.2020"," 11.30 Uhr""",916,278,157,15,65,65,78,87,197,214,214,277,292,365,403,483,558,589,650,690,760,811,845,916,"916"
Kreis Herford,52.1759015,8.5988205,05758,250783,,"""21.03.2020"," 11.30 Uhr""",85,2950,0,0,0,0,0,0,0,2,2,2,2,2,4,5,9,19,22,26,26,52,52,84,"85"
Herne,51.540584,7.20971,05916,156374,,"""21.03.2020"," 11.30 Uhr""",16,9773,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,8,8,7,13,13,"16"
Hochsauerlandkreis,51.24509,8.301315,05958,260475,,"""21.03.2020"," 11.30 Uhr""",103,2529,0,0,0,0,0,0,0,0,0,0,0,1,1,6,14,20,30,31,37,80,82,99,"103"
