city,lat,long,ags,population,url,date,cases,proKopf,gesund,tot,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,"23.03.2020",
Aachen & Region,50.749709,6.213554,05334,555465,https://www.staedteregion-aachen.de/de/navigation/aemter/oeffentlichkeitsarbeit-s-13/aktuelles/pressemitteilungen/aktuelle-pressemitteilungen/coronavirus/,"""23.03.2020"," 16 Uhr""",530,1048,0,5,6,10,10,13,33,41,51,57,58,61,63,63,85,85,140,169,211,273,343,361,436,501,"530"
Bielefeld,52.018202,8.577806,05711,333786,https://www.bielefeld.de/de/gs/covi/,"""23.03.2020"," 16 Uhr""",98,3406,0,,0,0,0,0,0,0,0,2,2,2,5,9,17,17,17,27,28,49,49,66,66,81,"98"
Bochum,51.474951,7.213937,05911,364628,https://www.bochum.de/Corona/,"""23.03.2020"," 16 Uhr""",141,2586,0,1,0,0,0,0,1,2,2,3,4,4,5,8,18,18,20,26,26,30,39,77,77,99,"141"
Bonn,50.724104,7.114887,05314,327258,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php,"""23.03.2020"," 16 Uhr""",157,2084,0,,1,1,1,1,1,1,2,4,5,6,13,17,23,28,36,41,64,69,76,92,119,132,"157"
Kreis Borken,51.9419987,6.9812473,05554,370676,https://kreis-borken.de/index.php?id=17236&L=494,"""23.03.2020"," 16 Uhr""",282,1314,1,,0,0,0,0,0,0,0,0,0,1,1,3,19,27,45,82,104,131,187,226,252,274,"282"
Bottrop,51.52873,6.943227,05512,117383,https://www.bottrop.de/soziales/gesundheit/infos-zum-coronavirus/index.php,"""23.03.2020"," 16 Uhr""",17,6905,0,,0,0,0,0,1,5,5,5,5,6,7,14,3,3,3,4,7,9,10,16,16,16,"17"
Kreis Coesfeld,51.941946,7.166349,05558,219929,https://www.kreis-coesfeld.de/themen-projekte/gesundheit/informationen-zum-coronavirus/pressemeldungen-zum-coronavirus.html,"""23.03.2020"," 16 Uhr""",152,1447,0,,0,0,0,0,13,13,16,18,21,21,22,28,33,39,47,50,53,70,93,116,129,152,"152"
Dortmund,51.5135872,7.4652981,05913,587010,https://www.dortmund.de/de/leben_in_dortmund/nachrichtenportal/alle_nachrichten/nachricht.jsp?nid=622746,"""23.03.2020"," 16 Uhr""",160,3669,0,,0,0,0,0,2,2,2,4,4,5,12,12,14,14,19,33,49,65,76,140,140,140,"160"
Duisburg,51.47994,6.75966,05112,498590,https://www.duisburg.de/microsites/coronavirus/aktuelles/index.php,"""23.03.2020"," 16 Uhr""",133,3749,0,,0,1,1,1,1,2,2,2,3,3,7,9,10,14,14,30,46,52,63,81,89,89,"133"
Kreis DÃ¼ren,50.801834,6.48195,05358,263722,https://www.kreis-dueren.de/aktuelles/presse/corona-aktuelles-komplett.php,"""23.03.2020"," 16 Uhr""",142,1857,0,1,1,1,1,2,4,4,4,4,5,6,7,9,15,18,24,39,47,57,80,107,118,130,"142"
DÃ¼sseldorf,51.226297,6.801324,05111,619294,https://www.duesseldorf.de/,"""23.03.2020"," 16 Uhr""",205,3021,0,1,0,0,1,1,1,3,3,3,3,5,6,7,16,23,36,36,97,97,154,187,189,189,"205"
