city,lat,long,ags,population,date,cases,pro100000,gesund,tot,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,"28.03.2020",
Aachen & Region,50.749709,6.213554,05334,555465,"""28.03.2020"," 11.30 Uhr""",746,134,0,14,14,10,10,13,33,41,51,57,58,61,63,63,85,85,140,169,211,273,343,361,436,501,530,540,540,618,649,"746"
Bielefeld,52.018202,8.577806,05711,333786,"""28.03.2020"," 11.30 Uhr""",142,43,0,0,0,0,0,0,0,0,0,2,2,2,5,9,17,17,17,27,28,49,49,66,66,81,98,104,120,132,142,"142"
Bochum,51.474951,7.213937,05911,364628,"""28.03.2020"," 11.30 Uhr""",219,60,0,4,0,0,0,0,1,2,2,3,4,4,5,8,18,18,20,26,26,30,39,77,77,99,141,143,173,186,219,"219"
Bonn,50.724104,7.114887,05314,327258,"""28.03.2020"," 11.30 Uhr""",241,74,0,1,1,1,1,1,1,1,2,4,5,6,13,17,23,28,36,41,64,69,76,92,119,132,157,164,180,212,225,"241"
Kreis Borken,51.9419987,6.9812473,05554,370676,"""28.03.2020"," 11.30 Uhr""",399,108,1,4,0,0,0,0,0,0,0,0,0,1,1,3,19,27,45,82,104,131,187,226,252,274,282,300,323,353,382,"399"
Bottrop,51.52873,6.943227,05512,117383,"""28.03.2020"," 11.30 Uhr""",32,27,0,1,0,0,0,0,1,5,5,5,5,6,7,14,3,3,3,4,7,9,10,16,16,16,17,18,23,23,25,"32"
Kreis Coesfeld,51.941946,7.166349,05558,219929,"""28.03.2020"," 11.30 Uhr""",274,125,0,1,0,0,0,0,13,13,16,18,21,21,22,28,33,39,47,50,53,70,93,116,129,152,152,172,184,216,245,"274"
Dortmund,51.5135872,7.4652981,05913,587010,"""28.03.2020"," 11.30 Uhr""",238,41,0,0,0,0,0,0,2,2,2,4,4,5,12,12,14,14,19,33,49,65,76,140,140,140,160,174,183,214,238,"238"
Duisburg,51.47994,6.75966,05112,498590,"""28.03.2020"," 11.30 Uhr""",234,47,0,1,0,1,1,1,1,2,2,2,3,3,7,9,10,14,14,30,46,52,63,81,89,89,133,160,174,200,245,"234"
Kreis DÃ¼ren,50.801834,6.48195,05358,263722,"""28.03.2020"," 11.30 Uhr""",217,82,0,1,1,1,1,2,4,4,4,4,5,6,7,9,15,18,24,39,47,57,80,107,118,130,142,151,166,189,192,"217"
DÃ¼sseldorf,51.226297,6.801324,05111,619294,"""28.03.2020"," 11.30 Uhr""",319,52,0,2,0,0,1,1,1,3,3,3,3,5,6,7,16,23,36,36,97,97,154,187,189,189,205,280,261,290,317,"319"
Ennepe-Ruhr-Kreis,51.366277,7.310078,05954,324296,"""28.03.2020"," 11.30 Uhr""",108,33,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,14,17,17,32,38,45,45,52,76,76,91,99,108,"108"
Essen,51.468739,7.019603,05113,583109,"""28.03.2020"," 11.30 Uhr""",360,62,0,6,1,1,1,2,5,5,6,6,6,5,9,12,20,34,52,80,89,115,154,164,164,218,228,254,266,292,349,"360"
Kreis Euskirchen,50.5320004,6.6364339,05366,192840,"""28.03.2020"," 11.30 Uhr""",101,52,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,5,6,12,12,19,26,42,45,51,53,61,61,64,95,"101"
Gelsenkirchen,51.517744,7.0857172,05513,260654,"""28.03.2020"," 11.30 Uhr""",81,31,0,0,0,0,0,0,3,3,3,3,3,4,4,4,7,9,12,13,18,21,36,38,41,41,47,52,55,62,73,"81"
Kreis GÃ¼tersloh,51.903311,8.390601,05754,364083,"""28.03.2020"," 11.30 Uhr""",335,92,0,1,0,0,0,0,1,1,0,0,0,0,5,15,15,15,45,71,80,91,100,169,179,202,224,254,254,315,335,"335"
Hagen,51.371236,7.487553,05914,188814,"""28.03.2020"," 11.30 Uhr""",62,33,0,2,0,0,0,0,0,0,0,0,1,1,3,3,3,5,5,6,8,11,22,31,31,37,43,50,55,55,55,"62"
Hamm,51.674274,7.821892,05915,179111,"""28.03.2020"," 11.30 Uhr""",131,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,8,16,26,49,54,62,85,90,94,109,117,"131"
Kreis Heinsberg,51.06395,6.098857,05370,254322,"""28.03.2020"," 11.30 Uhr""",1202,473,157,30,65,65,78,87,197,214,214,277,292,365,403,483,558,589,650,690,760,811,845,916,916,964,1004,1043,1056,1124,1166,"1202"
Kreis Herford,52.1759015,8.5988205,05758,250783,"""28.03.2020"," 11.30 Uhr""",138,55,0,0,0,0,0,0,0,2,2,2,2,2,4,5,9,19,22,26,26,52,52,84,85,97,99,104,117,122,133,"138"
Herne,51.540584,7.20971,05916,156374,"""28.03.2020"," 11.30 Uhr""",45,29,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,8,8,7,13,13,16,23,23,27,27,41,42,"45"
