Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württem­berg,Germany,2020-03-24T21:36:27,6043,37,143,48.5205,9.0551
Bayern,Germany,2020-03-24T21:36:27,6362,31,21,48.1351,11.5775
Berlin,Germany,2020-03-24T21:36:27,1425,3,6,52.5224,13.3986
Brandenburg,Germany,2020-03-24T21:36:27,443,1,1,52.3501,12.9162
Bremen,Germany,2020-03-24T21:36:27,195,0,26,53.0842,8.8036
Hamburg,Germany,2020-03-24T21:36:27,1237,1,1,53.5493,9.9937
Hessen,Germany,2020-03-24T21:36:27,1620,4,6,50.1284,8.702
Mecklenburg-Vor­pommern,Germany,2020-03-24T21:36:27,219,0,4,54.1202,12.1137
Niedersachsen,Germany,2020-03-24T21:36:27,2071,8,54,52.4455,9.7955
Nordrhein-West­falen,Germany,2020-03-24T21:36:27,9087,54,522,51.3239,6.7953
Rhein­land-Pfalz,Germany,2020-03-24T21:36:27,1480,5,6,49.9421,7.1618
Saarland,Germany,2020-03-24T21:36:27,433,3,14,49.2382,7.0046
Sachsen,Germany,2020-03-24T21:36:27,1018,6,14,51.1278,13.6537
Sachsen-Anhalt,Germany,2020-03-24T21:36:27,377,1,1,52.1432,11.6375
Schles­wig-Holstein,Germany,2020-03-24T21:36:27,544,2,2,54.3615,10.1157
Thüringen,Germany,2020-03-24T21:36:27,432,1,52,51.0285,11.0345
