Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württem­berg,Germany,2020-03-23T21:35:49,5333,31,130,48.5205,9.0551
Bayern,Germany,2020-03-23T21:35:49,5719,27,21,48.1351,11.5775
Berlin,Germany,2020-03-23T21:35:49,1219,2,6,52.5224,13.3986
Brandenburg,Germany,2020-03-23T21:35:49,385,1,1,52.3501,12.9162
Bremen,Germany,2020-03-23T21:35:49,175,0,26,53.0842,8.8036
Hamburg,Germany,2020-03-23T21:35:49,989,1,1,53.5493,9.9937
Hessen,Germany,2020-03-23T21:35:49,1352,3,6,50.1284,8.702
Mecklenburg-Vor­pommern,Germany,2020-03-23T21:35:49,201,0,4,54.1202,12.1137
Niedersachsen,Germany,2020-03-23T21:35:49,1779,6,28,52.4455,9.7955
Nordrhein-West­falen,Germany,2020-03-23T21:35:49,8224,41,187,51.3239,6.7953
Rhein­land-Pfalz,Germany,2020-03-23T21:35:49,1285,4,5,49.9421,7.1618
Saarland,Germany,2020-03-23T21:35:49,383,1,2,49.2382,7.0046
Sachsen,Germany,2020-03-23T21:35:49,865,3,2,51.1278,13.6537
Sachsen-Anhalt,Germany,2020-03-23T21:35:49,303,1,0,52.1432,11.6375
Schles­wig-Holstein,Germany,2020-03-23T21:35:49,467,1,1,54.3615,10.1157
Thüringen,Germany,2020-03-23T21:35:49,377,1,33,51.0285,11.0345
