Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württem­berg,Germany,2020-03-27T22:09:34,9729,101,366,48.5205,9.0551
Bayern,Germany,2020-03-27T22:09:34,10180,59,208,48.1351,11.5775
Berlin,Germany,2020-03-27T22:09:34,2152,8,645,52.5224,13.3986
Brandenburg,Germany,2020-03-27T22:09:34,696,3,16,52.3501,12.9162
Bremen,Germany,2020-03-27T22:09:34,263,2,53,53.0842,8.8036
Hamburg,Germany,2020-03-27T22:09:34,1759,2,1,53.5493,9.9937
Hessen,Germany,2020-03-27T22:09:34,2392,7,77,50.1284,8.702
Mecklenburg-Vor­pommern,Germany,2020-03-27T22:09:34,309,0,7,54.1202,12.1137
Niedersachsen,Germany,2020-03-27T22:09:34,3175,12,298,52.4455,9.7955
Nordrhein-West­falen,Germany,2020-03-27T22:09:34,12114,92,1090,51.3239,6.7953
Rhein­land-Pfalz,Germany,2020-03-27T22:09:34,2101,11,33,49.9421,7.1618
Saarland,Germany,2020-03-27T22:09:34,614,6,25,49.2382,7.0046
Sachsen,Germany,2020-03-27T22:09:34,1505,9,15,51.1278,13.6537
Sachsen-Anhalt,Germany,2020-03-27T22:09:34,561,2,22,52.1432,11.6375
Schles­wig-Holstein,Germany,2020-03-27T22:09:34,821,5,4,54.3615,10.1157
Thüringen,Germany,2020-03-27T22:09:34,668,4,72,51.0285,11.0345
