Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württem­berg,Germany,2020-03-29T19:36:24,11536,128,639,48.5205,9.0551
Bayern,Germany,2020-03-29T19:36:24,13263,110,332,48.1351,11.5775
Berlin,Germany,2020-03-29T19:36:24,2360,9,765,52.5224,13.3986
Brandenburg,Germany,2020-03-29T19:36:24,833,4,47,52.3501,12.9162
Bremen,Germany,2020-03-29T19:36:24,290,2,53,53.0842,8.8036
Hamburg,Germany,2020-03-29T19:36:24,2078,4,1,53.5493,9.9937
Hessen,Germany,2020-03-29T19:36:24,2943,11,155,50.1284,8.702
Mecklenburg-Vor­pommern,Germany,2020-03-29T19:36:24,356,1,11,54.1202,12.1137
Niedersachsen,Germany,2020-03-29T19:36:24,3786,27,465,52.4455,9.7955
Nordrhein-West­falen,Germany,2020-03-29T19:36:24,13630,110,1733,51.3239,6.7953
Rhein­land-Pfalz,Germany,2020-03-29T19:36:24,2545,18,73,49.9421,7.1618
Saarland,Germany,2020-03-29T19:36:24,726,7,47,49.2382,7.0046
Sachsen,Germany,2020-03-29T19:36:24,1816,10,24,51.1278,13.6537
Sachsen-Anhalt,Germany,2020-03-29T19:36:24,635,2,22,52.1432,11.6375
Schles­wig-Holstein,Germany,2020-03-29T19:36:24,1007,6,15,54.3615,10.1157
Thüringen,Germany,2020-03-29T19:36:24,749,5,129,51.0285,11.0345
