Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württemberg,Germany,2020-03-20T21:40:04,3665,17,14,48.5205,9.0551
Bayern,Germany,2020-03-20T21:40:04,3107,20,15,48.1351,11.5775
Berlin,Germany,2020-03-20T21:40:04,868,1,6,52.5224,13.3986
Brandenburg,Germany,2020-03-20T21:40:04,265,0,1,52.3501,12.9162
Bremen,Germany,2020-03-20T21:40:04,127,0,3,53.0842,8.8036
Hamburg,Germany,2020-03-20T21:40:04,664,1,1,53.5493,9.9937
Hessen,Germany,2020-03-20T21:40:04,962,2,3,50.1284,8.702
Mecklenburg-Vorpommern,Germany,2020-03-20T21:40:04,167,0,0,54.1202,12.1137
Niedersachsen,Germany,2020-03-20T21:40:04,1262,0,4,52.4455,9.7955
Nordrhein-Westfalen,Germany,2020-03-20T21:40:04,6301,22,127,51.3239,6.7953
Rheinland-Pfalz,Germany,2020-03-20T21:40:04,890,2,1,49.9421,7.1618
Saarland,Germany,2020-03-20T21:40:04,255,0,0,49.2382,7.0046
Sachsen,Germany,2020-03-20T21:40:04,562,1,2,51.1278,13.6537
Sachsen-Anhalt,Germany,2020-03-20T21:40:04,217,0,0,52.1432,11.6375
Schleswig-Holstein,Germany,2020-03-20T21:40:04,321,1,0,54.3615,10.1157
Thüringen,Germany,2020-03-20T21:40:04,215,0,3,51.0285,11.0345
