Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württem­berg,Germany,2020-03-22T19:39:27,4300,23,29,48.5205,9.0551
Bayern,Germany,2020-03-22T19:39:27,4457,21,21,48.1351,11.5775
Berlin,Germany,2020-03-22T19:39:27,1025,1,6,52.5224,13.3986
Brandenburg,Germany,2020-03-22T19:39:27,353,1,1,52.3501,12.9162
Bremen,Germany,2020-03-22T19:39:27,173,0,3,53.0842,8.8036
Hamburg,Germany,2020-03-22T19:39:27,887,1,1,53.5493,9.9937
Hessen,Germany,2020-03-22T19:39:27,1267,3,6,50.1284,8.702
Mecklenburg-Vor­pommern,Germany,2020-03-22T19:39:27,187,0,0,54.1202,12.1137
Niedersachsen,Germany,2020-03-22T19:39:27,1586,4,6,52.4455,9.7955
Nordrhein-West­falen,Germany,2020-03-22T19:39:27,7361,33,163,51.3239,6.7953
Rhein­land-Pfalz,Germany,2020-03-22T19:39:27,1149,2,1,49.9421,7.1618
Saarland,Germany,2020-03-22T19:39:27,318,1,0,49.2382,7.0046
Sachsen,Germany,2020-03-22T19:39:27,731,1,2,51.1278,13.6537
Sachsen-Anhalt,Germany,2020-03-22T19:39:27,269,0,0,52.1432,11.6375
Schles­wig-Holstein,Germany,2020-03-22T19:39:27,436,1,0,54.3615,10.1157
Thüringen,Germany,2020-03-22T19:39:27,307,1,27,51.0285,11.0345
