Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württem­berg,Germany,2020-03-30T21:52:19,12257,163,1058,48.5205,9.0551
Bayern,Germany,2020-03-30T21:52:19,14437,133,637,48.1351,11.5775
Berlin,Germany,2020-03-30T21:52:19,2581,13,1055,52.5224,13.3986
Brandenburg,Germany,2020-03-30T21:52:19,894,4,63,52.3501,12.9162
Bremen,Germany,2020-03-30T21:52:19,297,4,71,53.0842,8.8036
Hamburg,Germany,2020-03-30T21:52:19,2214,5,1,53.5493,9.9937
Hessen,Germany,2020-03-30T21:52:19,3100,14,196,50.1284,8.702
Mecklenburg-Vor­pommern,Germany,2020-03-30T21:52:19,366,1,15,54.1202,12.1137
Niedersachsen,Germany,2020-03-30T21:52:19,4026,33,525,52.4455,9.7955
Nordrhein-West­falen,Germany,2020-03-30T21:52:19,14442,130,2084,51.3239,6.7953
Rhein­land-Pfalz,Germany,2020-03-30T21:52:19,2686,19,99,49.9421,7.1618
Saarland,Germany,2020-03-30T21:52:19,800,9,47,49.2382,7.0046
Sachsen,Germany,2020-03-30T21:52:19,1930,11,32,51.1278,13.6537
Sachsen-Anhalt,Germany,2020-03-30T21:52:19,682,6,22,52.1432,11.6375
Schles­wig-Holstein,Germany,2020-03-30T21:52:19,1053,7,28,54.3615,10.1157
Thüringen,Germany,2020-03-30T21:52:19,777,5,129,51.0285,11.0345
