Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württem­berg,Germany,2020-03-25T20:10:49,7252,56,186,48.5205,9.0551
Bayern,Germany,2020-03-25T20:10:49,7289,41,47,48.1351,11.5775
Berlin,Germany,2020-03-25T20:10:49,1645,4,6,52.5224,13.3986
Brandenburg,Germany,2020-03-25T20:10:49,505,1,1,52.3501,12.9162
Bremen,Germany,2020-03-25T20:10:49,212,1,35,53.0842,8.8036
Hamburg,Germany,2020-03-25T20:10:49,1450,1,1,53.5493,9.9937
Hessen,Germany,2020-03-25T20:10:49,1909,6,19,50.1284,8.702
Mecklenburg-Vor­pommern,Germany,2020-03-25T20:10:49,245,0,5,54.1202,12.1137
Niedersachsen,Germany,2020-03-25T20:10:49,2313,8,83,52.4455,9.7955
Nordrhein-West­falen,Germany,2020-03-25T20:10:49,9764,66,755,51.3239,6.7953
Rhein­land-Pfalz,Germany,2020-03-25T20:10:49,1637,6,6,49.9421,7.1618
Saarland,Germany,2020-03-25T20:10:49,466,3,21,49.2382,7.0046
Sachsen,Germany,2020-03-25T20:10:49,1128,6,14,51.1278,13.6537
Sachsen-Anhalt,Germany,2020-03-25T20:10:49,420,1,2,52.1432,11.6375
Schles­wig-Holstein,Germany,2020-03-25T20:10:49,609,4,2,54.3615,10.1157
Thüringen,Germany,2020-03-25T20:10:49,479,2,64,51.0285,11.0345
