Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württem­berg,Germany,2020-03-26T22:44:42,8441,76,285,48.5205,9.0551
Bayern,Germany,2020-03-26T22:44:42,8842,52,99,48.1351,11.5775
Berlin,Germany,2020-03-26T22:44:42,1937,5,6,52.5224,13.3986
Brandenburg,Germany,2020-03-26T22:44:42,579,1,9,52.3501,12.9162
Bremen,Germany,2020-03-26T22:44:42,244,1,40,53.0842,8.8036
Hamburg,Germany,2020-03-26T22:44:42,1614,1,1,53.5493,9.9937
Hessen,Germany,2020-03-26T22:44:42,2170,6,19,50.1284,8.702
Mecklenburg-Vor­pommern,Germany,2020-03-26T22:44:42,265,0,5,54.1202,12.1137
Niedersachsen,Germany,2020-03-26T22:44:42,2726,10,234,52.4455,9.7955
Nordrhein-West­falen,Germany,2020-03-26T22:44:42,10948,82,837,51.3239,6.7953
Rhein­land-Pfalz,Germany,2020-03-26T22:44:42,1873,8,7,49.9421,7.1618
Saarland,Germany,2020-03-26T22:44:42,540,3,25,49.2382,7.0046
Sachsen,Germany,2020-03-26T22:44:42,1275,8,15,51.1278,13.6537
Sachsen-Anhalt,Germany,2020-03-26T22:44:42,500,2,21,52.1432,11.6375
Schles­wig-Holstein,Germany,2020-03-26T22:44:42,685,4,3,54.3615,10.1157
Thüringen,Germany,2020-03-26T22:44:42,572,3,72,51.0285,11.0345
